case	unit	budget	geometry
ELMSAN1+ZBTB10	Norman_pooled_screen	d135	0.0013661210416796598
CBL+PTPN9	Norman_pooled_screen	d8	0.023078322436158556
CBL+PTPN9	Norman_pooled_screen	d16	0.011505617022088228
CBL+PTPN9	Norman_pooled_screen	d32	0.0058005079222384097
CBL+PTPN9	Norman_pooled_screen	d64	0.0028792466883020358
CBL+PTPN9	Norman_pooled_screen	d128	0.0014380482443949827
CBL+PTPN9	Norman_pooled_screen	d135	0.0013661210416796598
FOXL2+POU3F2	Norman_pooled_screen	d8	0.023078322436158556
FOXL2+POU3F2	Norman_pooled_screen	d16	0.011505617022088228
FOXL2+POU3F2	Norman_pooled_screen	d32	0.0058005079222384097
FOXL2+POU3F2	Norman_pooled_screen	d64	0.0028792466883020358
FOXL2+POU3F2	Norman_pooled_screen	d128	0.0014380482443949827
FOXL2+POU3F2	Norman_pooled_screen	d135	0.0013661210416796598
CEBPB+PTPN12	Norman_pooled_screen	d8	0.023078322436158556
CEBPB+PTPN12	Norman_pooled_screen	d16	0.011505617022088228
CEBPB+PTPN12	Norman_pooled_screen	d32	0.0058005079222384097
CEBPB+PTPN12	Norman_pooled_screen	d64	0.0028792466883020358
CEBPB+PTPN12	Norman_pooled_screen	d128	0.0014380482443949827
CEBPB+PTPN12	Norman_pooled_screen	d135	0.0013661210416796598
SGK1+TBX3	Norman_pooled_screen	d8	0.023078322436158556
SGK1+TBX3	Norman_pooled_screen	d16	0.011505617022088228
SGK1+TBX3	Norman_pooled_screen	d32	0.0058005079222384097
SGK1+TBX3	Norman_pooled_screen	d64	0.0028792466883020358
SGK1+TBX3	Norman_pooled_screen	d128	0.0014380482443949827
SGK1+TBX3	Norman_pooled_screen	d135	0.0013661210416796598
FOXL2+ZNF318	Norman_pooled_screen	d8	0.023078322436158556
FOXL2+ZNF318	Norman_pooled_screen	d16	0.011505617022088228
FOXL2+ZNF318	Norman_pooled_screen	d32	0.0058005079222384097
FOXL2+ZNF318	Norman_pooled_screen	d64	0.0028792466883020358
FOXL2+ZNF318	Norman_pooled_screen	d128	0.0014380482443949827
FOXL2+ZNF318	Norman_pooled_screen	d135	0.0013661210416796598
OSR2+UBASH3B	Norman_pooled_screen	d8	0.023078322436158556
OSR2+UBASH3B	Norman_pooled_screen	d16	0.011505617022088228
OSR2+UBASH3B	Norman_pooled_screen	d32	0.0058005079222384097
OSR2+UBASH3B	Norman_pooled_screen	d64	0.0028792466883020358
OSR2+UBASH3B	Norman_pooled_screen	d128	0.0014380482443949827
OSR2+UBASH3B	Norman_pooled_screen	d135	0.0013661210416796598
PRTG+TGFBR2	Norman_pooled_screen	d8	0.023078322436158556
PRTG+TGFBR2	Norman_pooled_screen	d16	0.011505617022088228
PRTG+TGFBR2	Norman_pooled_screen	d32	0.0058005079222384097
PRTG+TGFBR2	Norman_pooled_screen	d64	0.0028792466883020358
PRTG+TGFBR2	Norman_pooled_screen	d128	0.0014380482443949827
PRTG+TGFBR2	Norman_pooled_screen	d135	0.0013661210416796598
BPGM+ZBTB1	Norman_pooled_screen	d8	0.023078322436158556
BPGM+ZBTB1	Norman_pooled_screen	d16	0.011505617022088228
BPGM+ZBTB1	Norman_pooled_screen	d32	0.0058005079222384097
BPGM+ZBTB1	Norman_pooled_screen	d64	0.0028792466883020358
BPGM+ZBTB1	Norman_pooled_screen	d128	0.0014380482443949827
BPGM+ZBTB1	Norman_pooled_screen	d135	0.0013661210416796598
FOSB+PTPN12	Norman_pooled_screen	d8	0.023078322436158556
FOSB+PTPN12	Norman_pooled_screen	d16	0.011505617022088228
FOSB+PTPN12	Norman_pooled_screen	d32	0.0058005079222384097
FOSB+PTPN12	Norman_pooled_screen	d64	0.0028792466883020358
FOSB+PTPN12	Norman_pooled_screen	d128	0.0014380482443949827
FOSB+PTPN12	Norman_pooled_screen	d135	0.0013661210416796598
HOXC13+ZC3HAV1	Norman_pooled_screen	d8	0.023078322436158556
HOXC13+ZC3HAV1	Norman_pooled_screen	d16	0.011505617022088228
HOXC13+ZC3HAV1	Norman_pooled_screen	d32	0.0058005079222384097
HOXC13+ZC3HAV1	Norman_pooled_screen	d64	0.0028792466883020358
HOXC13+ZC3HAV1	Norman_pooled_screen	d128	0.0014380482443949827
HOXC13+ZC3HAV1	Norman_pooled_screen	d135	0.0013661210416796598
IGDCC3+PRTG	Norman_pooled_screen	d8	0.023078322436158556
IGDCC3+PRTG	Norman_pooled_screen	d16	0.011505617022088228
IGDCC3+PRTG	Norman_pooled_screen	d32	0.0058005079222384097
IGDCC3+PRTG	Norman_pooled_screen	d64	0.0028792466883020358
IGDCC3+PRTG	Norman_pooled_screen	d128	0.0014380482443949827
IGDCC3+PRTG	Norman_pooled_screen	d135	0.0013661210416796598
PTPN12+SAMD1	Norman_pooled_screen	d8	0.023078322436158556
PTPN12+SAMD1	Norman_pooled_screen	d16	0.011505617022088228
PTPN12+SAMD1	Norman_pooled_screen	d32	0.0058005079222384097
PTPN12+SAMD1	Norman_pooled_screen	d64	0.0028792466883020358
PTPN12+SAMD1	Norman_pooled_screen	d128	0.0014380482443949827
PTPN12+SAMD1	Norman_pooled_screen	d135	0.0013661210416796598
CLDN6+KLF1	Norman_pooled_screen	d8	0.023078322436158556
CLDN6+KLF1	Norman_pooled_screen	d16	0.011505617022088228
CLDN6+KLF1	Norman_pooled_screen	d32	0.0058005079222384097
CLDN6+KLF1	Norman_pooled_screen	d64	0.0028792466883020358
CLDN6+KLF1	Norman_pooled_screen	d128	0.0014380482443949827
CLDN6+KLF1	Norman_pooled_screen	d135	0.0013661210416796598
CBFA2T3+FEV	Norman_pooled_screen	d8	0.023078322436158556
CBFA2T3+FEV	Norman_pooled_screen	d16	0.011505617022088228
CBFA2T3+FEV	Norman_pooled_screen	d32	0.0058005079222384097
CBFA2T3+FEV	Norman_pooled_screen	d64	0.0028792466883020358
CBFA2T3+FEV	Norman_pooled_screen	d128	0.0014380482443949827
CBFA2T3+FEV	Norman_pooled_screen	d135	0.0013661210416796598
FOSB+UBASH3B	Norman_pooled_screen	d8	0.023078322436158556
FOSB+UBASH3B	Norman_pooled_screen	d16	0.011505617022088228
FOSB+UBASH3B	Norman_pooled_screen	d32	0.0058005079222384097
FOSB+UBASH3B	Norman_pooled_screen	d64	0.0028792466883020358
FOSB+UBASH3B	Norman_pooled_screen	d128	0.0014380482443949827
FOSB+UBASH3B	Norman_pooled_screen	d135	0.0013661210416796598
DUSP9+SNAI1	Norman_pooled_screen	d8	0.023078322436158556
DUSP9+SNAI1	Norman_pooled_screen	d16	0.011505617022088228
DUSP9+SNAI1	Norman_pooled_screen	d32	0.0058005079222384097
DUSP9+SNAI1	Norman_pooled_screen	d64	0.0028792466883020358
DUSP9+SNAI1	Norman_pooled_screen	d128	0.0014380482443949827
DUSP9+SNAI1	Norman_pooled_screen	d135	0.0013661210416796598
UBASH3A+UBASH3B	Norman_pooled_screen	d8	0.023078322436158556
UBASH3A+UBASH3B	Norman_pooled_screen	d16	0.011505617022088228
UBASH3A+UBASH3B	Norman_pooled_screen	d32	0.0058005079222384097
UBASH3A+UBASH3B	Norman_pooled_screen	d64	0.0028792466883020358
UBASH3A+UBASH3B	Norman_pooled_screen	d128	0.0014380482443949827
UBASH3A+UBASH3B	Norman_pooled_screen	d135	0.0013661210416796598
FOXA1+HOXB9	Norman_pooled_screen	d8	0.023078322436158556
FOXA1+HOXB9	Norman_pooled_screen	d16	0.011505617022088228
FOXA1+HOXB9	Norman_pooled_screen	d32	0.0058005079222384097
FOXA1+HOXB9	Norman_pooled_screen	d64	0.0028792466883020358
FOXA1+HOXB9	Norman_pooled_screen	d128	0.0014380482443949827
FOXA1+HOXB9	Norman_pooled_screen	d135	0.0013661210416796598
SAMD1+ZBTB1	Norman_pooled_screen	d8	0.023078322436158556
SAMD1+ZBTB1	Norman_pooled_screen	d16	0.011505617022088228
SAMD1+ZBTB1	Norman_pooled_screen	d32	0.0058005079222384097
SAMD1+ZBTB1	Norman_pooled_screen	d64	0.0028792466883020358
SAMD1+ZBTB1	Norman_pooled_screen	d128	0.0014380482443949827
SAMD1+ZBTB1	Norman_pooled_screen	d135	0.0013661210416796598
IGDCC3+TGFBR2	Norman_pooled_screen	d8	0.023078322436158556
IGDCC3+TGFBR2	Norman_pooled_screen	d16	0.011505617022088228
IGDCC3+TGFBR2	Norman_pooled_screen	d32	0.0058005079222384097
IGDCC3+TGFBR2	Norman_pooled_screen	d64	0.0028792466883020358
IGDCC3+TGFBR2	Norman_pooled_screen	d128	0.0014380482443949827
IGDCC3+TGFBR2	Norman_pooled_screen	d135	0.0013661210416796598
TBX2+TBX3	Norman_pooled_screen	d8	0.023078322436158556
TBX2+TBX3	Norman_pooled_screen	d16	0.011505617022088228
TBX2+TBX3	Norman_pooled_screen	d32	0.0058005079222384097
TBX2+TBX3	Norman_pooled_screen	d64	0.0028792466883020358
TBX2+TBX3	Norman_pooled_screen	d128	0.0014380482443949827
TBX2+TBX3	Norman_pooled_screen	d135	0.0013661210416796598
SGK1+TBX2	Norman_pooled_screen	d8	0.023078322436158556
SGK1+TBX2	Norman_pooled_screen	d16	0.011505617022088228
SGK1+TBX2	Norman_pooled_screen	d32	0.0058005079222384097
SGK1+TBX2	Norman_pooled_screen	d64	0.0028792466883020358
SGK1+TBX2	Norman_pooled_screen	d128	0.0014380482443949827
SGK1+TBX2	Norman_pooled_screen	d135	0.0013661210416796598
BAK1+KLF1	Norman_pooled_screen	d8	0.023078322436158556
BAK1+KLF1	Norman_pooled_screen	d16	0.011505617022088228
BAK1+KLF1	Norman_pooled_screen	d32	0.0058005079222384097
BAK1+KLF1	Norman_pooled_screen	d64	0.0028792466883020358
BAK1+KLF1	Norman_pooled_screen	d128	0.0014380482443949827
BAK1+KLF1	Norman_pooled_screen	d135	0.0013661210416796598
CBL+PTPN12	Norman_pooled_screen	d8	0.023078322436158556
CBL+PTPN12	Norman_pooled_screen	d16	0.011505617022088228
CBL+PTPN12	Norman_pooled_screen	d32	0.0058005079222384097
CBL+PTPN12	Norman_pooled_screen	d64	0.0028792466883020358
CBL+PTPN12	Norman_pooled_screen	d128	0.0014380482443949827
CBL+PTPN12	Norman_pooled_screen	d135	0.0013661210416796598
MAPK1+TGFBR2	Norman_pooled_screen	d8	0.023078322436158556
MAPK1+TGFBR2	Norman_pooled_screen	d16	0.011505617022088228
MAPK1+TGFBR2	Norman_pooled_screen	d32	0.0058005079222384097
MAPK1+TGFBR2	Norman_pooled_screen	d64	0.0028792466883020358
MAPK1+TGFBR2	Norman_pooled_screen	d128	0.0014380482443949827
MAPK1+TGFBR2	Norman_pooled_screen	d135	0.0013661210416796598
FOXA1+FOXA3	Norman_pooled_screen	d8	0.023078322436158556
FOXA1+FOXA3	Norman_pooled_screen	d16	0.011505617022088228
FOXA1+FOXA3	Norman_pooled_screen	d32	0.0058005079222384097
FOXA1+FOXA3	Norman_pooled_screen	d64	0.0028792466883020358
FOXA1+FOXA3	Norman_pooled_screen	d128	0.0014380482443949827
FOXA1+FOXA3	Norman_pooled_screen	d135	0.0013661210416796598
CBL+UBASH3B	Norman_pooled_screen	d8	0.023078322436158556
CBL+UBASH3B	Norman_pooled_screen	d16	0.011505617022088228
CBL+UBASH3B	Norman_pooled_screen	d32	0.0058005079222384097
CBL+UBASH3B	Norman_pooled_screen	d64	0.0028792466883020358
CBL+UBASH3B	Norman_pooled_screen	d128	0.0014380482443949827
CBL+UBASH3B	Norman_pooled_screen	d135	0.0013661210416796598
ETS2+IGDCC3	Norman_pooled_screen	d8	0.023078322436158556
ETS2+IGDCC3	Norman_pooled_screen	d16	0.011505617022088228
ETS2+IGDCC3	Norman_pooled_screen	d32	0.0058005079222384097
ETS2+IGDCC3	Norman_pooled_screen	d64	0.0028792466883020358
ETS2+IGDCC3	Norman_pooled_screen	d128	0.0014380482443949827
ETS2+IGDCC3	Norman_pooled_screen	d135	0.0013661210416796598
BAK1+TMSB4X	Norman_pooled_screen	d8	0.023078322436158556
