allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
4	16	128	compositional_ridge	P	0.039560090825073606
4	16	128	compositional_ridge	O	0.039560090825073606
4	16	128	compositional_ridge	D	0.039560090825073606
4	16	128	CPA_0.8.8	S	0.092915785816383226
4	16	128	CPA_0.8.8	M	0.092915785816383226
4	16	128	CPA_0.8.8	P	0.10760308580127184
4	16	128	CPA_0.8.8	O	0.10654080533908863
4	16	128	CPA_0.8.8	D	0.10707194557018025
4	16	128	zero_effect	S	0.1101294508141091
4	16	128	zero_effect	M	0.11012945081410909
4	16	128	zero_effect	P	0.11012945081410909
4	16	128	zero_effect	O	0.11012945081410909
4	16	128	zero_effect	D	0.11012945081410909
4	32	256	additive	S	0.026195167136201958
4	32	256	additive	M	0.026195167136201958
4	32	256	additive	P	0.033435722987128935
4	32	256	additive	O	0.033435722987128935
4	32	256	additive	D	0.033435722987128935
4	32	256	compositional_ridge	S	0.025403931071276635
4	32	256	compositional_ridge	M	0.025403931071276635
4	32	256	compositional_ridge	P	0.032644486922203599
4	32	256	compositional_ridge	O	0.032644486922203599
4	32	256	compositional_ridge	D	0.032644486922203599
4	32	256	CPA_0.8.8	S	0.093655563948040643
4	32	256	CPA_0.8.8	M	0.093655563948040629
4	32	256	CPA_0.8.8	P	0.10140181320184741
4	32	256	CPA_0.8.8	O	0.10039042639608788
4	32	256	CPA_0.8.8	D	0.10089611979896762
4	32	256	zero_effect	S	0.10775420626235251
4	32	256	zero_effect	M	0.10775420626235252
4	32	256	zero_effect	P	0.10775420626235252
4	32	256	zero_effect	O	0.10775420626235252
4	32	256	zero_effect	D	0.10775420626235252
4	64	512	additive	S	0.026195167136201958
4	64	512	additive	M	0.026195167136201958
4	64	512	additive	P	0.029784253354749858
4	64	512	additive	O	0.029784253354749858
4	64	512	additive	D	0.029784253354749858
4	64	512	compositional_ridge	S	0.025403931071276635
4	64	512	compositional_ridge	M	0.025403931071276635
4	64	512	compositional_ridge	P	0.028993017289824535
4	64	512	compositional_ridge	O	0.028993017289824535
4	64	512	compositional_ridge	D	0.028993017289824535
4	64	512	CPA_0.8.8	S	0.093455282797747383
4	64	512	CPA_0.8.8	M	0.093455282797747383
4	64	512	CPA_0.8.8	P	0.09715283362535683
4	64	512	CPA_0.8.8	O	0.096935904407233736
4	64	512	CPA_0.8.8	D	0.097044369016295276
4	64	512	zero_effect	S	0.10559902729241831
4	64	512	zero_effect	M	0.10559902729241831
4	64	512	zero_effect	P	0.10559902729241831
4	64	512	zero_effect	O	0.10559902729241831
4	64	512	zero_effect	D	0.10559902729241831
4	128	1024	additive	S	0.026195167136201958
4	128	1024	additive	M	0.026195167136201958
4	128	1024	additive	P	0.028069232968176157
4	128	1024	additive	O	0.028069232968176157
4	128	1024	additive	D	0.028069232968176157
4	128	1024	compositional_ridge	S	0.025403931071276635
4	128	1024	compositional_ridge	M	0.025403931071276635
4	128	1024	compositional_ridge	P	0.027277996903250844
4	128	1024	compositional_ridge	O	0.027277996903250844
4	128	1024	compositional_ridge	D	0.027277996903250844
4	128	1024	CPA_0.8.8	S	0.092572102401954043
4	128	1024	CPA_0.8.8	M	0.092572102401954029
4	128	1024	CPA_0.8.8	P	0.094572954231104511
4	128	1024	CPA_0.8.8	O	0.094319382236751986
4	128	1024	CPA_0.8.8	D	0.094446168233928263
4	128	1024	zero_effect	S	0.10355033874916166
4	128	1024	zero_effect	M	0.10355033874916166
