depth_per_gemgroup	cells_per_reference	model	pattern	mean	allocation_min	allocation_max
32	256	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
32	256	additive	P	0.033929177699186498	0.033307327460837761	0.034595175660254489
32	256	additive	O	0.033929177699186498	0.033307327460837761	0.034595175660254489
32	256	additive	D	0.033929177699186498	0.033307327460837761	0.034595175660254489
32	256	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
32	256	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
32	256	compositional_ridge	P	0.033137941634261182	0.032516091395912446	0.033803939595329152
32	256	compositional_ridge	O	0.033137941634261182	0.032516091395912446	0.033803939595329152
32	256	compositional_ridge	D	0.033137941634261182	0.032516091395912446	0.033803939595329152
32	256	CPA_0.8.8	S	0.092745938403963057	0.088680129765316584	0.096566366278448598
32	256	CPA_0.8.8	M	0.092745938403963057	0.088680129765316584	0.096566366278448598
32	256	CPA_0.8.8	P	0.10124240587171623	0.098504528634090913	0.10463942622511267
32	256	CPA_0.8.8	O	0.099717492062179003	0.095655747944647276	0.10333475119465638
32	256	CPA_0.8.8	D	0.10047994896694762	0.097080138289369122	0.10398708870988452
32	256	zero_effect	S	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	M	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	P	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	O	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	D	0.10632175391652536	0.10208774926458339	0.11024015001015931
64	512	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
64	512	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
64	512	additive	P	0.030034162720604669	0.029763166968892311	0.030359837072232224
64	512	additive	O	0.030034162720604669	0.029763166968892311	0.030359837072232224
64	512	additive	D	0.030034162720604669	0.029763166968892311	0.030359837072232224
64	512	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
64	512	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
64	512	compositional_ridge	P	0.029242926655679354	0.028971930903966995	0.029568601007306898
64	512	compositional_ridge	O	0.029242926655679354	0.028971930903966995	0.029568601007306898
64	512	compositional_ridge	D	0.029242926655679354	0.028971930903966995	0.029568601007306898
64	512	CPA_0.8.8	S	0.092366458937943915	0.090757985966281915	0.095930219745337567
64	512	CPA_0.8.8	M	0.092366458937943915	0.090757985966281915	0.095930219745337567
64	512	CPA_0.8.8	P	0.096559308024772819	0.094835891839323228	0.099925414244851143
64	512	CPA_0.8.8	O	0.095851601019920449	0.094279482105391957	0.09929171392910488
64	512	CPA_0.8.8	D	0.096205454522346648	0.094596128168056945	0.099572594951827881
64	512	zero_effect	S	0.10416566998074096	0.10252134725090015	0.10790309054873151
64	512	zero_effect	M	0.10416566998074095	0.10252134725090012	0.10790309054873151
64	512	zero_effect	P	0.10416566998074095	0.10252134725090012	0.10790309054873151
64	512	zero_effect	O	0.10416566998074095	0.10252134725090012	0.10790309054873151
64	512	zero_effect	D	0.10416566998074095	0.10252134725090012	0.10790309054873151
128	1024	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
128	1024	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
128	1024	additive	P	0.028112564795395263	0.027981185867986303	0.028354995313651744
128	1024	additive	O	0.028112564795395263	0.027981185867986303	0.028354995313651744
128	1024	additive	D	0.028112564795395263	0.027981185867986303	0.028354995313651744
128	1024	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
128	1024	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
128	1024	compositional_ridge	P	0.027321328730469947	0.027189949803060998	0.027563759248726415
128	1024	compositional_ridge	O	0.027321328730469947	0.027189949803060998	0.027563759248726415
128	1024	compositional_ridge	D	0.027321328730469947	0.027189949803060998	0.027563759248726415
128	1024	CPA_0.8.8	S	0.092416502639953504	0.091334731691070398	0.093344936400702488
128	1024	CPA_0.8.8	M	0.092416502639953504	0.091334731691070398	0.093344936400702488
128	1024	CPA_0.8.8	P	0.094511356930162979	0.093466751168049506	0.095435273480924093
128	1024	CPA_0.8.8	O	0.09415644366813064	0.093057871513461926	0.09501995258967956
128	1024	CPA_0.8.8	D	0.094333900299146803	0.093262311340755716	0.095227613035301834
128	1024	zero_effect	S	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	M	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	P	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	O	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	D	0.10337293805400867	0.10226445598301483	0.10432719372603638
135	1080	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
135	1080	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
135	1080	additive	P	0.0280166618584415	0.027889682034660402	0.02822705038539438
135	1080	additive	O	0.0280166618584415	0.027889682034660402	0.02822705038539438
