depth_per_gemgroup	model	pattern	mean_utility	allocation_min_utility	allocation_max_utility
16	compositional_ridge	P	-0.04074475376739428	-0.041912551801255804	-0.03936756255849639
16	compositional_ridge	O	-0.04074475376739428	-0.041912551801255804	-0.03936756255849639
16	compositional_ridge	D	-0.04074475376739428	-0.041912551801255804	-0.03936756255849639
16	CPA_0.8.8	S	-0.09373184952489005	-0.10109707276688475	-0.08899891472877826
16	CPA_0.8.8	M	-0.09373184952489005	-0.1010970727668847	-0.08899891472877826
16	CPA_0.8.8	P	-0.11055336666018455	-0.11710093749181923	-0.10568022836669855
16	CPA_0.8.8	O	-0.10759197778183088	-0.11466745658070927	-0.103493148463861
16	CPA_0.8.8	D	-0.10907267222100771	-0.1158841970362642	-0.10458668841527981
16	zero_effect	S	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	M	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	P	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	O	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	D	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
32	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
32	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
32	additive	P	-0.033929177699186505	-0.03459517566025449	-0.03330732746083776
32	additive	O	-0.033929177699186505	-0.03459517566025449	-0.03330732746083776
32	additive	D	-0.033929177699186505	-0.03459517566025449	-0.03330732746083776
32	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
32	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
32	compositional_ridge	P	-0.03313794163426118	-0.03380393959532915	-0.032516091395912446
32	compositional_ridge	O	-0.03313794163426118	-0.03380393959532915	-0.032516091395912446
32	compositional_ridge	D	-0.03313794163426118	-0.03380393959532915	-0.032516091395912446
32	CPA_0.8.8	S	-0.09274593840396307	-0.0965663662784486	-0.08868012976531658
32	CPA_0.8.8	M	-0.09274593840396307	-0.0965663662784486	-0.08868012976531658
32	CPA_0.8.8	P	-0.10124240587171623	-0.10463942622511267	-0.09850452863409091
32	CPA_0.8.8	O	-0.09971749206217899	-0.10333475119465638	-0.09565574794464728
32	CPA_0.8.8	D	-0.10047994896694762	-0.10398708870988452	-0.09708013828936912
32	zero_effect	S	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	M	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	P	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	O	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	D	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
64	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
64	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
64	additive	P	-0.03003416272060467	-0.030359837072232224	-0.02976316696889231
64	additive	O	-0.03003416272060467	-0.030359837072232224	-0.02976316696889231
64	additive	D	-0.03003416272060467	-0.030359837072232224	-0.02976316696889231
64	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
64	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
64	compositional_ridge	P	-0.02924292665567935	-0.029568601007306898	-0.028971930903966995
64	compositional_ridge	O	-0.02924292665567935	-0.029568601007306898	-0.028971930903966995
64	compositional_ridge	D	-0.02924292665567935	-0.029568601007306898	-0.028971930903966995
64	CPA_0.8.8	S	-0.09236645893794392	-0.09593021974533757	-0.09075798596628191
64	CPA_0.8.8	M	-0.09236645893794392	-0.09593021974533757	-0.09075798596628191
64	CPA_0.8.8	P	-0.09655930802477283	-0.09992541424485114	-0.09483589183932323
64	CPA_0.8.8	O	-0.09585160101992043	-0.09929171392910488	-0.09427948210539196
64	CPA_0.8.8	D	-0.09620545452234665	-0.09957259495182788	-0.09459612816805694
64	zero_effect	S	-0.10416566998074096	-0.10790309054873151	-0.10252134725090015
64	zero_effect	M	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
