allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
13	128	S	0.018033747052134137	50	0	5
13	128	M	0.018033747052134137	50	0	5
13	128	P	0.017878198162161192	50	0	5
13	128	O	0.018189295942107084	50	0	5
13	128	D	0.01803374705213413	50	0	5
13	256	S	0.018285687552375408	50	0	5
13	256	M	0.018285687552375408	50	0	5
13	256	P	0.018112556408874537	50	0	5
13	256	O	0.01845881869587628	50	0	5
13	256	D	0.018285687552375404	50	0	5
13	512	S	0.018044584205023424	50	0	5
13	512	M	0.018044584205023424	50	0	5
13	512	P	0.017971113332687878	50	0	5
13	512	O	0.018118055077358964	50	0	5
13	512	D	0.018044584205023428	50	0	5
13	1024	S	0.018455009772536272	50	0	5
13	1024	M	0.018455009772536276	50	0	5
13	1024	P	0.018428004441387532	50	0	5
13	1024	O	0.018482015103685013	50	0	5
13	1024	D	0.018455009772536272	50	0	5
13	1080	S	0.018417056838173212	50	0	5
13	1080	M	0.01841705683817321	50	0	5
13	1080	P	0.018391325134148154	50	0	5
13	1080	O	0.018442788542198274	50	0	5
13	1080	D	0.018417056838173206	50	0	5
14	64	S	0.01842673632328154	50	0	5
14	64	M	0.01842673632328154	50	0	5
14	64	P	0.018130867044534232	50	0	5
14	64	O	0.018722605602028843	50	0	5
14	64	D	0.01842673632328154	50	0	5
14	128	S	0.018135406953473203	50	0	5
14	128	M	0.0181354069534732	50	0	5
14	128	P	0.018045371015033493	50	0	5
14	128	O	0.01822544289191291	50	0	5
14	128	D	0.018135406953473203	50	0	5
14	256	S	0.018242353920498684	50	0	5
14	256	M	0.018242353920498687	50	0	5
14	256	P	0.018213556217799215	50	0	5
14	256	O	0.018271151623198163	50	0	5
14	256	D	0.018242353920498684	50	0	5
14	512	S	0.018746307642467916	50	0	5
14	512	M	0.018746307642467916	50	0	5
14	512	P	0.018722711200725974	50	0	5
14	512	O	0.018769904084209855	50	0	5
14	512	D	0.018746307642467916	50	0	5
