view	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	realizations_per_allocation	repeated_realizations	A_allocation	A_Cobs	A_Cpred	A_Cmodel	A_anchor_task_mean	B_repeated_task_mean	B_minimum_task_mean	B_maximum_task_mean	C_same_primary_mean	C_minus_B_same_primary	C_full_role_assignments_per_allocation	all_task_support
direct_state	16	compositional_ridge	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02540393107127663	0.02540393107127664	0.02540393107127663	0.02540393107127663	0.02540393107127664	0	27	True
direct_state	16	compositional_ridge	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06642597886538054	0.06642597886538053	0.06642597886538054	0.06642597886538054	0.06642597886538053	0	27	True
direct_state	16	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7559513028323471	0.755951302832347	0.7559513028323471	0.7559513028323471	0.755951302832347	0	27	True
direct_state	16	compositional_ridge	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.88989898989899	0.8898989898989901	0.88989898989899	0.88989898989899	0.8898989898989901	0	27	True
direct_state	16	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0	27	True
direct_state	16	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0	27	True
direct_state	16	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	0	27	True
direct_state	16	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.4999999999999998	0.4999999999999999	0.4999999999999998	0.4999999999999998	0.4999999999999999	0	27	True
direct_state	16	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0	27	True
direct_state	16	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0	27	True
direct_state	16	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7920092797151159	0.792009279715116	0.7920092797151159	0.7920092797151159	0.792009279715116	0	27	True
direct_state	16	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9636363636363636	0.9636363636363637	0.9636363636363636	0.9636363636363636	0.9636363636363637	0	27	True
direct_state	32	selected_CPA	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.0736620439783694	0.07415174351439685	0.06634134458903114	0.08058202049384804	0.07415174351439685	0	27	True
direct_state	32	selected_CPA	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1167365609962688	0.117447022339725	0.1109114523371983	0.1226493517324151	0.117447022339725	0	27	True
direct_state	32	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.1210032222818706	0.1128228286677298	0.07556149838521518	0.160731798633889	0.1128228286677298	0	27	True
direct_state	32	selected_CPA	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5612794612794612	0.5610063598952487	0.5542087542087542	0.5683501683501683	0.5610063598952487	0	27	True
direct_state	32	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0	27	True
direct_state	32	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1315293332522501	0.13152933325225	0.1315293332522501	0.1315293332522501	0.13152933325225	0	27	True
direct_state	32	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	0	27	True
direct_state	32	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0	27	True
direct_state	32	additive	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0	27	True
