role_a	role_b	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	Cpred	32	original_CPA_fixed	state	raw_RMSE	lower	55	30	108	3240	0.008216645510357319	-0.01434306973485369	0.01434306973485369	0.008216645510357185	1620	1620	0	1620	1620	0	540	540	2160	0	0	3240
Cobs	Cpred	32	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.08855183346445368	-0.0460001665797423	0.04600016657974231	0.02684811397629491	1620	1620	0	1620	1620	0	1620	1620	0	1086	1086	1068
Cobs	Cpred	32	original_CPA_fixed	state	centroid_accuracy	higher	55	30	108	3240	0.009557301409143843	-0.004713804713804713	0.004713804713804713	0.001247038284075325	1500	1500	240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	additive	state	standardized_MSE	lower	55	30	108	3240	0.01031201408397915	-0.01883774562382822	0.01883774562382822	0.01031201408397946	1620	1620	0	1620	1620	0	552	552	2136	0	0	3240
Cobs	Cpred	32	additive	state	raw_RMSE	lower	55	30	108	3240	0.01405956614709085	-0.02502173586526783	0.02502173586526784	0.01405956614709063	1620	1620	0	1620	1620	0	1320	1320	600	432	432	2376
Cobs	Cpred	32	additive	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.07210270976149254	-0.1186147608283822	0.1186147608283822	0.07210270976149304	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	32	additive	state	centroid_accuracy	higher	55	30	108	3240	0.002925551814440854	-0.005387205387205387	0.005387205387205383	0.0008878912582616266	1416	1416	408	6	6	3228	0	0	3240	0	0	3240
Cobs	Cpred	32	compositional_ridge	state	standardized_MSE	lower	55	30	108	3240	0.01031201408397914	-0.01883774562382822	0.01883774562382822	0.01031201408397946	1620	1620	0	1620	1620	0	552	552	2136	0	0	3240
Cobs	Cpred	32	compositional_ridge	state	raw_RMSE	lower	55	30	108	3240	0.01486303033790328	-0.02637673545792082	0.02637673545792082	0.01486303033790252	1620	1620	0	1620	1620	0	1476	1476	288	540	540	2160
Cobs	Cpred	32	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.1463072176128798	-0.2390960261000231	0.2390960261000231	0.146307217612875	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	32	compositional_ridge	state	centroid_accuracy	higher	55	30	108	3240	0.01041775782515756	-0.01144781144781147	0.01144781144781145	0.002244668911335607	1560	1560	120	126	126	2988	18	18	3204	0	0	3240
Cobs	Cpred	32	NC_native_effect	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	NC_native_effect	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	selected_CPA	state	standardized_MSE	lower	55	30	108	3240	0.005118660779204423	-0.009352557472442603	0.009352557472442605	0.0051186607792036	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	64	selected_CPA	state	raw_RMSE	lower	55	30	108	3240	0.004550487878208677	-0.00840579171794978	0.00840579171794978	0.004550487878208752	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	64	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.05050259357161033	-0.03917339213977748	0.03917339213977748	0.0185941525144442	1620	1620	0	1616	1616	8	1538	1538	164	518	518	2204
Cobs	Cpred	64	selected_CPA	state	centroid_accuracy	higher	55	30	108	3240	0.01029721079102601	-0.006397306397306393	0.006397306397306393	0.001532194371700555	1490	1490	260	10	10	3220	0	0	3240	0	0	3240
Cobs	Cpred	64	original_CPA_fixed	state	standardized_MSE	lower	55	30	108	3240	0.005118660779204422	-0.009352557472442598	0.009352557472442603	0.0051186607792036	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	64	original_CPA_fixed	state	raw_RMSE	lower	55	30	108	3240	0.004173731268429676	-0.007510368614850952	0.007510368614850952	0.004173731268429725	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	64	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.05081291262412087	-0.02892894017642544	0.02892894017642544	0.01551348178924139	1620	1620	0	1620	1620	0	1590	1590	60	540	540	2160
Cobs	Cpred	64	original_CPA_fixed	state	centroid_accuracy	higher	55	30	108	3240	0.007320114727515832	-0.00404040404040404	0.00404040404040404	0.0009901483975558042	1422	1422	396	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	additive	state	standardized_MSE	lower	55	30	108	3240	0.005118660779204419	-0.009352557472442595	0.009352557472442596	0.005118660779203598	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	64	additive	state	raw_RMSE	lower	55	30	108	3240	0.007310244980583149	-0.01325698886319885	0.01325698886319885	0.007310244980582923	1620	1620	0	1416	1416	408	522	522	2196	0	0	3240
Cobs	Cpred	64	additive	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.03842433398884912	-0.06774364807460113	0.06774364807460113	0.03842433398884842	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	64	additive	state	centroid_accuracy	higher	55	30	108	3240	0.001853098890135753	-0.002356902356902356	0.002356902356902356	0.0006285072951739434	1362	1362	516	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	compositional_ridge	state	standardized_MSE	lower	55	30	108	3240	0.005118660779204419	-0.009352557472442593	0.009352557472442595	0.005118660779203598	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	64	compositional_ridge	state	raw_RMSE	lower	55	30	108	3240	0.00777636309644791	-0.01412659296443264	0.01412659296443265	0.007776363096447963	1620	1620	0	1584	1584	72	534	534	2172	0	0	3240
Cobs	Cpred	64	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.08310402356207908	-0.1459793714067451	0.1459793714067451	0.08310402356207715	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	64	compositional_ridge	state	centroid_accuracy	higher	55	30	108	3240	0.007784012969193167	-0.005050505050505067	0.005050505050505057	0.001254520513779794	1506	1506	228	6	6	3228	0	0	3240	0	0	3240
Cobs	Cpred	64	NC_native_effect	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	NC_native_effect	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	64	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	selected_CPA	state	standardized_MSE	lower	55	30	108	3240	0.002556530212256928	-0.00454597898783387	0.00454597898783387	0.002556530212257755	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	selected_CPA	state	raw_RMSE	lower	55	30	108	3240	0.00229460387111269	-0.004050421000984569	0.00405042100098457	0.002294603871112635	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.02820326426443875	-0.02225752672449444	0.02225752672449444	0.01018649786518133	1620	1620	0	1594	1594	52	558	558	2124	8	8	3224
Cobs	Cpred	128	selected_CPA	state	centroid_accuracy	higher	55	30	108	3240	0.008356819221007792	-0.006060606060606069	0.006060606060606069	0.001331005528536395	1494	1494	252	8	8	3224	0	0	3240	0	0	3240
Cobs	Cpred	128	original_CPA_fixed	state	standardized_MSE	lower	55	30	108	3240	0.002556530212256948	-0.004545978987833875	0.004545978987833874	0.002556530212257755	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	original_CPA_fixed	state	raw_RMSE	lower	55	30	108	3240	0.002105133959914778	-0.003627420570231546	0.003627420570231546	0.002105133959914854	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.02753681598333831	-0.01516613581791654	0.01516613581791655	0.008457543820437393	1620	1620	0	1620	1620	0	540	540	2160	0	0	3240
Cobs	Cpred	128	original_CPA_fixed	state	centroid_accuracy	higher	55	30	108	3240	0.00605062975432878	-0.00404040404040404	0.00404040404040404	0.001050006235191433	1464	1464	312	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	additive	state	standardized_MSE	lower	55	30	108	3240	0.002556530212256911	-0.004545978987833869	0.004545978987833869	0.002556530212257755	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	additive	state	raw_RMSE	lower	55	30	108	3240	0.00373978626552569	-0.006557797007932056	0.006557797007932056	0.003739786265525733	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	128	additive	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.01991317647356235	-0.0338129424978835	0.0338129424978835	0.0199131764735619	1620	1620	0	1620	1620	0	1620	1620	0	540	540	2160
Cobs	Cpred	128	additive	state	centroid_accuracy	higher	55	30	108	3240	0.00123955605437056	-0.002693602693602692	0.002693602693602692	0.0005960842997879868	1386	1386	468	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	compositional_ridge	state	standardized_MSE	lower	55	30	108	3240	0.00255653021225691	-0.004545978987833864	0.004545978987833864	0.002556530212257754	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	compositional_ridge	state	raw_RMSE	lower	55	30	108	3240	0.003995363537727716	-0.007010967142293028	0.007010967142293028	0.003995363537727625	1620	1620	0	540	540	2160	0	0	3240	0	0	3240
Cobs	Cpred	128	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.04485010600849205	-0.07616422292725497	0.07616422292725497	0.04485010600849305	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	128	compositional_ridge	state	centroid_accuracy	higher	55	30	108	3240	0.006315001870554169	-0.004377104377104382	0.004377104377104374	0.0009951365506921047	1428	1428	384	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	NC_native_effect	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	NC_native_effect	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	128	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	selected_CPA	state	standardized_MSE	lower	55	30	108	3240	0.002428659629652814	-0.004312736099422632	0.004312736099422632	0.002428659629652754	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	selected_CPA	state	raw_RMSE	lower	55	30	108	3240	0.002182377650906669	-0.003901990970581	0.003901990970581001	0.002182377650906671	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.0269938116813377	-0.02102803172895011	0.0210280317289501	0.009828813805625303	1620	1620	0	1600	1600	40	546	546	2148	6	6	3228
Cobs	Cpred	135	selected_CPA	state	centroid_accuracy	higher	55	30	108	3240	0.008278671488538879	-0.007407407407407419	0.007407407407407419	0.001385875213035716	1494	1494	252	20	20	3200	0	0	3240	0	0	3240
Cobs	Cpred	135	original_CPA_fixed	state	standardized_MSE	lower	55	30	108	3240	0.002428659629652817	-0.004312736099422637	0.004312736099422638	0.002428659629652754	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	original_CPA_fixed	state	raw_RMSE	lower	55	30	108	3240	0.0020011038055016	-0.003504704737727292	0.003504704737727291	0.00200110380550152	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.02624370425025371	-0.01429760911024355	0.01429760911024355	0.008050391161893012	1620	1620	0	1608	1608	24	540	540	2160	0	0	3240
Cobs	Cpred	135	original_CPA_fixed	state	centroid_accuracy	higher	55	30	108	3240	0.005963337074443664	-0.004040404040404037	0.004040404040404037	0.001032547699214359	1452	1452	336	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	additive	state	standardized_MSE	lower	55	30	108	3240	0.002428659629652818	-0.004312736099422633	0.004312736099422632	0.002428659629652754	1620	1620	0	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	135	additive	state	raw_RMSE	lower	55	30	108	3240	0.003557644895152069	-0.006266975853752853	0.006266975853752852	0.003557644895152254	1620	1620	0	480	480	2280	0	0	3240	0	0	3240
