view	pattern	depth	control_cells_per_block	controls_available	model	model_kind	metric	metric_direction	task_count	allocation_count	tuples_per_allocation	mean_score	undefined_values
direct_state	direct_state	128	1024	3072	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	0.7920092797151159	0
direct_state	direct_state	128	1024	3072	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	0.9636363636363636	0
direct_state	direct_state	135	1080	3240	selected_CPA	state	standardized_MSE	lower	55	30	3	0.07382567249426684	0
direct_state	direct_state	135	1080	3240	selected_CPA	state	raw_RMSE	lower	55	30	3	0.1171938231589002	0
direct_state	direct_state	135	1080	3240	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	0.1152871350215326	0
direct_state	direct_state	135	1080	3240	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5609988776655441	0
direct_state	direct_state	135	1080	3240	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	0.09275262305821323	0
direct_state	direct_state	135	1080	3240	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	0.1315293332522501	0
direct_state	direct_state	135	1080	3240	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	-0.09991128464033494	0
direct_state	direct_state	135	1080	3240	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	0.5279461279461278	0
direct_state	direct_state	135	1080	3240	additive	state	standardized_MSE	lower	55	30	3	0.02619516713620195	0
direct_state	direct_state	135	1080	3240	additive	state	raw_RMSE	lower	55	30	3	0.0689669535513437	0
direct_state	direct_state	135	1080	3240	additive	state	perturbation_centred_Pearson	higher	55	30	3	0.7960862159356359	0
direct_state	direct_state	135	1080	3240	additive	state	centroid_accuracy	higher	55	30	3	0.9717171717171719	0
direct_state	direct_state	135	1080	3240	compositional_ridge	state	standardized_MSE	lower	55	30	3	0.02540393107127663	0
direct_state	direct_state	135	1080	3240	compositional_ridge	state	raw_RMSE	lower	55	30	3	0.06642597886538056	0
direct_state	direct_state	135	1080	3240	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	0.7559513028323471	0
