role	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	16	NC_native_effect	native_effect	standardized_MSE	lower	55	30	54	1620	0.007517396553058577	-0.0204931834711125	0.0204931834711125	0.007221973488791871	810	810	0	459	459	702	243	243	1134	9	9	1602
Cobs	16	NC_native_effect	native_effect	raw_RMSE	lower	55	30	54	1620	0.005046726362564113	-0.01375814541778443	0.01375814541778443	0.004742205567643904	810	810	0	315	315	990	45	45	1530	0	0	1620
Cobs	16	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.03034332725422158	-0.023692374893966	0.023692374893966	0.007167546848497419	810	810	0	459	459	702	234	234	1152	18	18	1584
Cobs	16	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	54	1620	0.01058735503179468	-5.046468293750711e-19	5.046468293750711e-19	5.607186993056347e-21	0	0	1620	0	0	1620	0	0	1620	0	0	1620
Cobs	16	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	54	1620	0.002231534400940964	-0.002088545360815802	0.002088545360815802	0.0006516352974684169	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	16	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	54	1620	0.002899363227810623	-0.003156555691546554	0.003156555691546554	0.0009782325780701773	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	16	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.01486077074155621	-0.01053686390090322	0.01053686390090322	0.003577306724793188	810	810	0	243	243	1134	9	9	1602	0	0	1620
Cobs	16	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	54	1620	0.008297792742236449	-0.00740740740740741	0.00740740740740741	0.00219229330340443	783	783	54	54	54	1512	0	0	1620	0	0	1620
Cobs	32	selected_CPA	state	standardized_MSE	lower	55	30	54	1620	0.007137409806586905	-0.02505474815816235	0.02505474815816235	0.006741229151212797	810	810	0	459	459	702	190	190	1240	8	8	1604
Cobs	32	selected_CPA	state	raw_RMSE	lower	55	30	54	1620	0.006033104405310165	-0.0189923434312875	0.0189923434312875	0.005621563797638886	810	810	0	417	417	786	112	112	1396	0	0	1620
Cobs	32	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.05543132191867294	-0.08951146263375763	0.08951146263375763	0.02238707616440754	810	810	0	714	714	192	599	599	422	399	399	822
Cobs	32	selected_CPA	state	centroid_accuracy	higher	55	30	54	1620	0.01273142952154588	-0.01313131313131313	0.01313131313131313	0.003488381759986712	785	785	50	212	212	1196	13	13	1594	0	0	1620
Cobs	32	original_CPA_fixed	state	standardized_MSE	lower	55	30	54	1620	0.007396521711043466	-0.02368193937137433	0.02368193937137433	0.00700020105780069	810	810	0	462	462	696	225	225	1170	12	12	1596
Cobs	32	original_CPA_fixed	state	raw_RMSE	lower	55	30	54	1620	0.005678472837719981	-0.016630020476594	0.016630020476594	0.005276064635386066	810	810	0	378	378	864	102	102	1416	0	0	1620
Cobs	32	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.05436454612015371	-0.04985966482426706	0.04985966482426706	0.01653978947320135	810	810	0	687	687	246	546	546	528	282	282	1056
Cobs	32	original_CPA_fixed	state	centroid_accuracy	higher	55	30	54	1620	0.009058486095519401	-0.006397306397306397	0.006397306397306397	0.001830652201022578	759	759	102	27	27	1566	0	0	1620	0	0	1620
Cobs	32	additive	state	standardized_MSE	lower	55	30	54	1620	0.005802617585013068	-0.01223813605223668	0.01223813605223668	0.005449153599467831	810	810	0	540	540	540	30	30	1560	0	0	1620
Cobs	32	additive	state	raw_RMSE	lower	55	30	54	1620	0.007807894876711368	-0.0157985298584012	0.0157985298584012	0.00740247787943907	810	810	0	540	540	540	330	330	960	0	0	1620
Cobs	32	additive	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.03915332127117644	-0.06495741626056031	0.06495741626056031	0.03702901174037399	810	810	0	591	591	438	540	540	540	540	540	540
Cobs	32	additive	state	centroid_accuracy	higher	55	30	54	1620	0.003132560169596686	-0.007070707070707067	0.007070707070707067	0.001995261254520516	762	762	96	45	45	1530	0	0	1620	0	0	1620
Cobs	32	compositional_ridge	state	standardized_MSE	lower	55	30	54	1620	0.005839381524529038	-0.01225991821703486	0.01225991821703486	0.005515761058431831	810	810	0	540	540	540	39	39	1542	0	0	1620
Cobs	32	compositional_ridge	state	raw_RMSE	lower	55	30	54	1620	0.008250550724720286	-0.01599602713316955	0.01599602713316955	0.007812335426840982	810	810	0	543	543	534	414	414	792	0	0	1620
Cobs	32	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.07897402922700002	-0.1338054010902588	0.1338054010902588	0.07541197195024438	810	810	0	687	687	246	600	600	420	546	546	528
Cobs	32	compositional_ridge	state	centroid_accuracy	higher	55	30	54	1620	0.01421374236188638	-0.02727272727272729	0.02727272727272729	0.007427360019952648	807	807	6	504	504	612	240	240	1140	27	27	1566
Cobs	32	NC_native_effect	native_effect	standardized_MSE	lower	55	30	54	1620	0.005062400164921987	-0.01394626993111553	0.01394626993111553	0.004808264022123666	810	810	0	342	342	936	72	72	1476	0	0	1620
Cobs	32	NC_native_effect	native_effect	raw_RMSE	lower	55	30	54	1620	0.003470915719719669	-0.009413800580590674	0.009413800580590674	0.003188143288493102	810	810	0	171	171	1278	0	0	1620	0	0	1620
Cobs	32	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.02143504418601737	-0.01554389956390034	0.01554389956390034	0.004074076010854256	810	810	0	270	270	1080	36	36	1548	0	0	1620
Cobs	32	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	54	1620	0.00720538720538655	0	0	0	0	0	1620	0	0	1620	0	0	1620	0	0	1620
Cobs	32	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	54	1620	0.001525811347452441	-0.002012929274560195	0.002012929274560195	0.0004341051990069102	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	32	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	54	1620	0.002135806270747162	-0.003015740861537388	0.003015740861537388	0.0007200327309237103	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	32	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.01015377375632887	-0.007237419671245324	0.007237419671245324	0.002450601997567746	810	810	0	81	81	1458	0	0	1620	0	0	1620
Cobs	32	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	54	1620	0.00549943883277217	-0.005050505050505047	0.005050505050505047	0.001488963711185922	738	738	144	9	9	1602	0	0	1620	0	0	1620
Cobs	64	selected_CPA	state	standardized_MSE	lower	55	30	54	1620	0.004042187840978445	-0.01337203606752837	0.01337203606752837	0.003758671608574896	810	810	0	228	228	1164	25	25	1570	0	0	1620
Cobs	64	selected_CPA	state	raw_RMSE	lower	55	30	54	1620	0.003476022769073654	-0.01039817466145516	0.01039817466145516	0.003152337320867345	810	810	0	150	150	1320	4	4	1612	0	0	1620
Cobs	64	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.03685989079779069	-0.05394356893818993	0.05394356893818993	0.01519072325914371	810	810	0	665	665	290	490	490	640	244	244	1132
Cobs	64	selected_CPA	state	centroid_accuracy	higher	55	30	54	1620	0.009271313962668573	-0.01144781144781145	0.01144781144781145	0.002397638940848817	771	771	78	89	89	1442	1	1	1618	0	0	1620
Cobs	64	original_CPA_fixed	state	standardized_MSE	lower	55	30	54	1620	0.004239802795323096	-0.01437935109291368	0.01437935109291368	0.003982520789182838	810	810	0	261	261	1098	39	39	1542	0	0	1620
Cobs	64	original_CPA_fixed	state	raw_RMSE	lower	55	30	54	1620	0.003296482521892046	-0.01014460768793691	0.01014460768793691	0.003000163095873388	810	810	0	138	138	1344	3	3	1614	0	0	1620
Cobs	64	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.03368097427344938	-0.03527537449709902	0.03527537449709902	0.01019737608058886	810	810	0	582	582	456	336	336	948	75	75	1470
Cobs	64	original_CPA_fixed	state	centroid_accuracy	higher	55	30	54	1620	0.006614291058734852	-0.005050505050505057	0.005050505050505057	0.001139792991644833	717	717	186	6	6	1608	0	0	1620	0	0	1620
Cobs	64	additive	state	standardized_MSE	lower	55	30	54	1620	0.003004633996848252	-0.006388828693903431	0.006388828693903431	0.002737664384707984	810	810	0	33	33	1554	0	0	1620	0	0	1620
Cobs	64	additive	state	raw_RMSE	lower	55	30	54	1620	0.004225219526944221	-0.008924180451792871	0.008924180451792871	0.00389841034421551	810	810	0	372	372	876	0	0	1620	0	0	1620
Cobs	64	additive	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.02144080342941292	-0.03764576106284469	0.03764576106284469	0.01987038313080979	810	810	0	564	564	492	540	540	540	540	540	540
Cobs	64	additive	state	centroid_accuracy	higher	55	30	54	1620	0.001863075196408455	-0.004713804713804714	0.004713804713804714	0.001252026437211611	732	732	156	0	0	1620	0	0	1620	0	0	1620
Cobs	64	compositional_ridge	state	standardized_MSE	lower	55	30	54	1620	0.003037552341357557	-0.00667217335680003	0.00667217335680003	0.002794453257818731	810	810	0	66	66	1488	0	0	1620	0	0	1620
Cobs	64	compositional_ridge	state	raw_RMSE	lower	55	30	54	1620	0.004499276661870452	-0.008746238395023828	0.008746238395023828	0.004154517469232764	810	810	0	435	435	750	0	0	1620	0	0	1620
