depth	role	model	metric	gap	taskmean_values	positive	negative	within
8	Cpred	compositional_ridge	raw_RMSE	0.005	1620	570	570	480
8	Cpred	compositional_ridge	raw_RMSE	0.01	1620	543	543	534
8	Cpred	compositional_ridge	raw_RMSE	0.02	1620	540	540	540
8	Cpred	compositional_ridge	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cpred	compositional_ridge	perturbation_centred_Pearson	0.005	1620	759	759	102
8	Cpred	compositional_ridge	perturbation_centred_Pearson	0.01	1620	702	702	216
8	Cpred	compositional_ridge	perturbation_centred_Pearson	0.02	1620	618	618	384
8	Cpred	compositional_ridge	centroid_accuracy	0.0	1620	804	804	12
8	Cpred	compositional_ridge	centroid_accuracy	0.005	1620	633	633	354
8	Cpred	compositional_ridge	centroid_accuracy	0.01	1620	453	453	714
8	Cpred	compositional_ridge	centroid_accuracy	0.02	1620	216	216	1188
8	Cpred	NC_native_effect	standardized_MSE	0.0	1620	0	0	1620
8	Cpred	NC_native_effect	standardized_MSE	0.005	1620	0	0	1620
8	Cpred	NC_native_effect	standardized_MSE	0.01	1620	0	0	1620
8	Cpred	NC_native_effect	standardized_MSE	0.02	1620	0	0	1620
8	Cpred	NC_native_effect	raw_RMSE	0.0	1620	0	0	1620
8	Cpred	NC_native_effect	raw_RMSE	0.005	1620	0	0	1620
8	Cpred	NC_native_effect	raw_RMSE	0.01	1620	0	0	1620
8	Cpred	NC_native_effect	raw_RMSE	0.02	1620	0	0	1620
8	Cpred	NC_native_effect	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cpred	NC_native_effect	perturbation_centred_Pearson	0.005	1620	0	0	1620
8	Cpred	NC_native_effect	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cpred	NC_native_effect	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cpred	NC_native_effect	centroid_accuracy	0.0	1620	0	0	1620
8	Cpred	NC_native_effect	centroid_accuracy	0.005	1620	0	0	1620
8	Cpred	NC_native_effect	centroid_accuracy	0.01	1620	0	0	1620
8	Cpred	NC_native_effect	centroid_accuracy	0.02	1620	0	0	1620
8	Cpred	native_effect_ridge	standardized_MSE	0.0	1620	0	0	1620
8	Cpred	native_effect_ridge	standardized_MSE	0.005	1620	0	0	1620
8	Cpred	native_effect_ridge	standardized_MSE	0.01	1620	0	0	1620
8	Cpred	native_effect_ridge	standardized_MSE	0.02	1620	0	0	1620
8	Cpred	native_effect_ridge	raw_RMSE	0.0	1620	0	0	1620
8	Cpred	native_effect_ridge	raw_RMSE	0.005	1620	0	0	1620
8	Cpred	native_effect_ridge	raw_RMSE	0.01	1620	0	0	1620
8	Cpred	native_effect_ridge	raw_RMSE	0.02	1620	0	0	1620
8	Cpred	native_effect_ridge	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cpred	native_effect_ridge	perturbation_centred_Pearson	0.005	1620	0	0	1620
8	Cpred	native_effect_ridge	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cpred	native_effect_ridge	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cpred	native_effect_ridge	centroid_accuracy	0.0	1620	0	0	1620
8	Cpred	native_effect_ridge	centroid_accuracy	0.005	1620	0	0	1620
8	Cpred	native_effect_ridge	centroid_accuracy	0.01	1620	0	0	1620
8	Cpred	native_effect_ridge	centroid_accuracy	0.02	1620	0	0	1620
8	Cmodel	selected_CPA	standardized_MSE	0.0	1620	810	810	0
8	Cmodel	selected_CPA	standardized_MSE	0.005	1620	493	493	634
8	Cmodel	selected_CPA	standardized_MSE	0.01	1620	270	270	1080
8	Cmodel	selected_CPA	standardized_MSE	0.02	1620	68	68	1484
8	Cmodel	selected_CPA	raw_RMSE	0.0	1620	810	810	0
8	Cmodel	selected_CPA	raw_RMSE	0.005	1620	392	392	836
8	Cmodel	selected_CPA	raw_RMSE	0.01	1620	158	158	1304
8	Cmodel	selected_CPA	raw_RMSE	0.02	1620	9	9	1602
8	Cmodel	selected_CPA	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cmodel	selected_CPA	perturbation_centred_Pearson	0.005	1620	676	676	268
8	Cmodel	selected_CPA	perturbation_centred_Pearson	0.01	1620	571	571	478
8	Cmodel	selected_CPA	perturbation_centred_Pearson	0.02	1620	400	400	820
8	Cmodel	selected_CPA	centroid_accuracy	0.0	1620	793	793	34
8	Cmodel	selected_CPA	centroid_accuracy	0.005	1620	462	462	696
8	Cmodel	selected_CPA	centroid_accuracy	0.01	1620	185	185	1250
8	Cmodel	selected_CPA	centroid_accuracy	0.02	1620	7	7	1606
8	Cmodel	original_CPA_fixed	standardized_MSE	0.0	1620	0	0	1620
8	Cmodel	original_CPA_fixed	standardized_MSE	0.005	1620	0	0	1620
8	Cmodel	original_CPA_fixed	standardized_MSE	0.01	1620	0	0	1620
8	Cmodel	original_CPA_fixed	standardized_MSE	0.02	1620	0	0	1620
8	Cmodel	original_CPA_fixed	raw_RMSE	0.0	1620	0	0	1620
8	Cmodel	original_CPA_fixed	raw_RMSE	0.005	1620	0	0	1620
8	Cmodel	original_CPA_fixed	raw_RMSE	0.01	1620	0	0	1620
8	Cmodel	original_CPA_fixed	raw_RMSE	0.02	1620	0	0	1620
8	Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.005	1620	0	0	1620
8	Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cmodel	original_CPA_fixed	centroid_accuracy	0.0	1620	0	0	1620
8	Cmodel	original_CPA_fixed	centroid_accuracy	0.005	1620	0	0	1620
8	Cmodel	original_CPA_fixed	centroid_accuracy	0.01	1620	0	0	1620
8	Cmodel	original_CPA_fixed	centroid_accuracy	0.02	1620	0	0	1620
8	Cmodel	additive	standardized_MSE	0.0	1620	0	0	1620
8	Cmodel	additive	standardized_MSE	0.005	1620	0	0	1620
8	Cmodel	additive	standardized_MSE	0.01	1620	0	0	1620
8	Cmodel	additive	standardized_MSE	0.02	1620	0	0	1620
8	Cmodel	additive	raw_RMSE	0.0	1620	0	0	1620
8	Cmodel	additive	raw_RMSE	0.005	1620	0	0	1620
8	Cmodel	additive	raw_RMSE	0.01	1620	0	0	1620
8	Cmodel	additive	raw_RMSE	0.02	1620	0	0	1620
8	Cmodel	additive	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cmodel	additive	perturbation_centred_Pearson	0.005	1620	0	0	1620
8	Cmodel	additive	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cmodel	additive	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cmodel	additive	centroid_accuracy	0.0	1620	0	0	1620
8	Cmodel	additive	centroid_accuracy	0.005	1620	0	0	1620
8	Cmodel	additive	centroid_accuracy	0.01	1620	0	0	1620
8	Cmodel	additive	centroid_accuracy	0.02	1620	0	0	1620
8	Cmodel	compositional_ridge	standardized_MSE	0.0	1620	0	0	1620
8	Cmodel	compositional_ridge	standardized_MSE	0.005	1620	0	0	1620
8	Cmodel	compositional_ridge	standardized_MSE	0.01	1620	0	0	1620
8	Cmodel	compositional_ridge	standardized_MSE	0.02	1620	0	0	1620
8	Cmodel	compositional_ridge	raw_RMSE	0.0	1620	0	0	1620
8	Cmodel	compositional_ridge	raw_RMSE	0.005	1620	0	0	1620
8	Cmodel	compositional_ridge	raw_RMSE	0.01	1620	0	0	1620
8	Cmodel	compositional_ridge	raw_RMSE	0.02	1620	0	0	1620
8	Cmodel	compositional_ridge	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cmodel	compositional_ridge	perturbation_centred_Pearson	0.005	1620	0	0	1620
8	Cmodel	compositional_ridge	perturbation_centred_Pearson	0.01	1620	0	0	1620
8	Cmodel	compositional_ridge	perturbation_centred_Pearson	0.02	1620	0	0	1620
8	Cmodel	compositional_ridge	centroid_accuracy	0.0	1620	0	0	1620
8	Cmodel	compositional_ridge	centroid_accuracy	0.005	1620	0	0	1620
8	Cmodel	compositional_ridge	centroid_accuracy	0.01	1620	0	0	1620
8	Cmodel	compositional_ridge	centroid_accuracy	0.02	1620	0	0	1620
8	Cmodel	NC_native_effect	standardized_MSE	0.0	1620	0	0	1620
8	Cmodel	NC_native_effect	standardized_MSE	0.005	1620	0	0	1620
8	Cmodel	NC_native_effect	standardized_MSE	0.01	1620	0	0	1620
8	Cmodel	NC_native_effect	standardized_MSE	0.02	1620	0	0	1620
8	Cmodel	NC_native_effect	raw_RMSE	0.0	1620	0	0	1620
8	Cmodel	NC_native_effect	raw_RMSE	0.005	1620	0	0	1620
8	Cmodel	NC_native_effect	raw_RMSE	0.01	1620	0	0	1620
8	Cmodel	NC_native_effect	raw_RMSE	0.02	1620	0	0	1620
8	Cmodel	NC_native_effect	perturbation_centred_Pearson	0.0	1620	0	0	1620
8	Cmodel	NC_native_effect	perturbation_centred_Pearson	0.005	1620	0	0	1620
