task_index	task	depth	allocation	model	view	Cobs	Cpred	Cmodel	standardized_MSE	raw_RMSE	perturbation_centred_Pearson	centroid_accuracy
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	0	0	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	0	1	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	0	2	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	1	0	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	1	1	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	1	2	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	2	0	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	2	1	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	0	2	2	0.048480067556482605	0.10425713090052309	0.3632316096737327	0.8518518518518519
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	0	0	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	0	1	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	0	2	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	1	0	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	1	1	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	1	2	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	2	0	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	2	1	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
0	BAK1+KLF1	8	0	NC_native_effect	roles	1	2	2	0.04440606868117484	0.10062236302462987	0.3871430058013498	0.8703703703703703
