depth	role_pair	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
16	Cobs:Cpred	native_effect_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	selected_CPA	standardized_MSE	108	178200	0.0021582150316562894	0.00810264733082075	-0.007956728565134791	0.007956728565134791	0.002158130305281781	0.007956728565134791	-5.62178904251743e-21
16	Cobs:Cmodel	selected_CPA	raw_RMSE	108	178200	0.0016989359616034	0.013963234595038641	-0.007581469364985068	0.007581469364985068	0.0016833364192100568	0.007581469364985068	-7.228014483236696e-21
16	Cobs:Cmodel	selected_CPA	perturbation_centred_Pearson	108	178200	0.01812333305903379	0.16070402813618834	-0.05649545007783096	0.05649545007783096	0.011242404510710999	0.05649545007783096	6.531983458925015e-20
16	Cobs:Cmodel	selected_CPA	centroid_accuracy	108	178200	0.015016003657980483	0.12962962962962976	-0.010774410774410775	0.010774410774410775	0.0022496570644719035	0.010774410774410775	-2.7466455036299444e-19
16	Cobs:Cmodel	original_CPA_fixed	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	original_CPA_fixed	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	original_CPA_fixed	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	additive	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	additive	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	additive	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	additive	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	compositional_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	compositional_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	compositional_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	compositional_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	NC_native_effect	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	NC_native_effect	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	NC_native_effect	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	NC_native_effect	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	native_effect_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cmodel	native_effect_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
