depth	role	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
8	Cmodel	selected_CPA	raw_RMSE	54	89100	0.006762810634487797	0.03135774903571284	-0.025799618199801724	0.025799618199801724	0.0060743791059172615	0.025799618199801724	1.3385212005993881e-20
8	Cmodel	selected_CPA	perturbation_centred_Pearson	54	89100	0.04810747021477759	0.38183459585048873	-0.14116096659024494	0.14116096659024494	0.025739323068422616	0.14116096659024494	6.210738370781161e-20
8	Cmodel	selected_CPA	centroid_accuracy	54	89100	0.021786590181640048	0.2592592592592593	-0.02693602693602693	0.02693602693602693	0.006615953776447618	0.02693602693602693	2.248715617006972e-20
8	Cmodel	original_CPA_fixed	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	original_CPA_fixed	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	original_CPA_fixed	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	original_CPA_fixed	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	additive	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	additive	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	additive	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	additive	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	compositional_ridge	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	compositional_ridge	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	compositional_ridge	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	compositional_ridge	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	NC_native_effect	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	NC_native_effect	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cmodel	NC_native_effect	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
