depth	role_pair	model	metric	gap	taskmean_values	positive	negative	within
8	Cobs:Cmodel	compositional_ridge	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cmodel	NC_native_effect	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cmodel	native_effect_ridge	centroid_accuracy	0.02	3240	0	0	3240
8	Cpred:Cmodel	selected_CPA	standardized_MSE	0.0	3240	1620	1620	0
8	Cpred:Cmodel	selected_CPA	standardized_MSE	0.005	3240	528	528	2184
8	Cpred:Cmodel	selected_CPA	standardized_MSE	0.01	3240	84	84	3072
8	Cpred:Cmodel	selected_CPA	standardized_MSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	selected_CPA	raw_RMSE	0.0	3240	1620	1620	0
8	Cpred:Cmodel	selected_CPA	raw_RMSE	0.005	3240	252	252	2736
8	Cpred:Cmodel	selected_CPA	raw_RMSE	0.01	3240	30	30	3180
8	Cpred:Cmodel	selected_CPA	raw_RMSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	selected_CPA	perturbation_centred_Pearson	0.0	3240	1620	1620	0
8	Cpred:Cmodel	selected_CPA	perturbation_centred_Pearson	0.005	3240	992	992	1256
8	Cpred:Cmodel	selected_CPA	perturbation_centred_Pearson	0.01	3240	782	782	1676
8	Cpred:Cmodel	selected_CPA	perturbation_centred_Pearson	0.02	3240	638	638	1964
8	Cpred:Cmodel	selected_CPA	centroid_accuracy	0.0	3240	1540	1540	160
8	Cpred:Cmodel	selected_CPA	centroid_accuracy	0.005	3240	204	204	2832
8	Cpred:Cmodel	selected_CPA	centroid_accuracy	0.01	3240	12	12	3216
8	Cpred:Cmodel	selected_CPA	centroid_accuracy	0.02	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	standardized_MSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	standardized_MSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	standardized_MSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	standardized_MSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	raw_RMSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	raw_RMSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	raw_RMSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	raw_RMSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	centroid_accuracy	0.0	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	centroid_accuracy	0.005	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	centroid_accuracy	0.01	3240	0	0	3240
8	Cpred:Cmodel	original_CPA_fixed	centroid_accuracy	0.02	3240	0	0	3240
8	Cpred:Cmodel	additive	standardized_MSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	additive	standardized_MSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	additive	standardized_MSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	additive	standardized_MSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	additive	raw_RMSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	additive	raw_RMSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	additive	raw_RMSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	additive	raw_RMSE	0.02	3240	0	0	3240
