task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	0.016171866353861128	0.14952841122325694	0.14621336310739375	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	0.016171866353861128	0.1336144605567535	0.14820098262841472	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	0.016171866353861128	0.13995539511359678	0.1380384264066618	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	0.016171866353861128	0.14389857432453637	0.15569206705995312	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	0.016171866353861128	0.13915625952857452	0.14613314186621207	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	0.016171866353861128	0.14344723862470188	0.1419255393496267	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	0.016171866353861128	0.1322533251067028	0.1403673790317997	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	0.016171866353861128	0.1493069949087616	0.1520036993708937	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	0.016171866353861128	0.13904119404049248	0.15243571101314524	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	0.016171866353861128	0.14636346888617846	0.14578086562706455	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	0.016171866353861128	0.14462192297869653	0.14696874840217344	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	0.016171866353861128	0.13958315355798923	0.14607489827412207	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	0.016171866353861128	0.1431854497957005	0.14229724183668066	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	0.016171866353861128	0.140421002548969	0.1507260751734676	1	1	1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.03792537941447859	-0.037655172792831856	-0.037655172792831856	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.03792537941447859	-0.03819558603612527	-0.03819558603612527	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.03792537941447859	-0.03918777457042549	-0.03918777457042549	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	3	-0.03792537941447859	-0.03666298425853172	-0.03666298425853172	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	-0.03792537941447859	-0.035623598334561773	-0.035623598334561773	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	-0.03792537941447859	-0.0402271604943954	-0.0402271604943954	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	-0.03792537941447859	-0.038805599431402826	-0.038805599431402826	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	-0.03792537941447859	-0.037045159397554345	-0.037045159397554345	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	8	-0.03792537941447859	-0.03845145508002924	-0.03845145508002924	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	9	-0.03792537941447859	-0.037399303748927915	-0.037399303748927915	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	10	-0.03792537941447859	-0.03625040071688834	-0.03625040071688834	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	11	-0.03792537941447859	-0.03960035811206883	-0.03960035811206883	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	12	-0.03792537941447859	-0.03790063870335367	-0.03790063870335367	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	13	-0.03792537941447859	-0.03795012012560353	-0.03795012012560353	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	14	-0.03792537941447859	-0.03913429589370046	-0.03913429589370046	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	15	-0.03792537941447859	-0.03671646293525668	-0.03671646293525668	-1	-1	-1	False	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.02995572206597491	0.05277426135937752	0.05828574757414981	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.02995572206597491	0.05435753325932616	0.06012863606184063	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.02995572206597491	0.050622011535164296	0.055917992861779314	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.02995572206597491	0.05581813949773276	0.06227055937922377	-1	1	1	True	False
Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.02995572206597491	0.05664434810761115	0.06617728272847742	-1	1	1	True	False
