root_task_index	root_index	task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	15	-0.05239633407302419	-0.05911955426020127	-0.05911955426020127	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.07957870588612363	0.06195402525394189	0.0689488737007285	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.07957870588612363	0.00808699245910105	0.01059865399159629	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.07957870588612363	0.04407436175616375	0.054477648410587304	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.07957870588612363	0.01703297342863075	0.01586072524995935	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.07957870588612363	0.045898520694820255	0.04070729991085037	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.07957870588612363	0.037941216025684704	0.06523026522347022	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.07957870588612363	0.012080887310557925	0.009356502969881525	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.07957870588612363	0.025839118496581437	0.0340699352176384	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.07957870588612363	-0.0007434172232297642	-0.001684932503824066	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.07957870588612363	0.054002243923025633	0.07981117179168931	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.07957870588612363	0.01559012702343851	0.013322223174218245	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.07957870588612363	0.03697252223051822	0.049949839808699215	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.07957870588612363	0.05648671743936312	0.0729139484240553	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.07957870588612363	0.025977775849291285	0.024248847149704766	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.07957870588612363	0.0481456296136788	0.0565795248105965	-1	1	1	True	False
1	0	DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.07957870588612363	0.027492707179915532	0.023391397742182712	-1	1	1	True	False
