condition	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_allocations	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
BPGM+ZBTB1	16	128	direct_effect_ridge	compositional_ridge	-0.008054178148895683	0.015340822696117635	0.007286644547221956	30	30	0.007286644547221952	4.336808689942018e-18	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	16	128	direct_effect_ridge	CPA_0.8.8	0.04698934041232326	0.015340822696117635	0.062330163108440896	30	0	0.062330163108440896	0.0	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	32	256	direct_effect_ridge	additive	0.0029220781276179117	0.0077340105629845465	0.010656088690602462	30	0	0.010656088690602458	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	32	256	direct_effect_ridge	compositional_ridge	-0.004503408723236822	0.0077340105629845465	0.0032306018397477263	30	30	0.003230601839747724	2.168404344971009e-18	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	32	256	direct_effect_ridge	CPA_0.8.8	0.04966762080784526	0.0077340105629845465	0.057401631370829806	30	0	0.057401631370829806	0.0	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	64	512	direct_effect_ridge	additive	0.004768375357499019	0.0038389955844027146	0.008607370941901735	30	0	0.008607370941901733	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	64	512	direct_effect_ridge	compositional_ridge	-0.0026571114933557154	0.0038389955844027146	0.0011818840910470007	30	30	0.0011818840910469992	1.5178830414797062e-18	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	64	512	direct_effect_ridge	CPA_0.8.8	0.05106029190318873	0.0038389955844027146	0.05489928748759145	30	0	0.054899287487591444	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	128	1024	direct_effect_ridge	additive	0.005757855974273745	0.0019173976591933101	0.007675253633467057	30	0	0.007675253633467055	2.6020852139652106e-18	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	128	1024	direct_effect_ridge	compositional_ridge	-0.0016676308765809895	0.0019173976591933101	0.0002497667826123219	30	29	0.00024976678261232066	1.2468324983583301e-18	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	128	1024	direct_effect_ridge	CPA_0.8.8	0.05202341418123299	0.0019173976591933101	0.053940811840426296	30	0	0.0539408118404263	-6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	135	1080	direct_effect_ridge	additive	0.0057982862572616475	0.0018214947222395463	0.007619780979501194	30	0	0.007619780979501193	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	135	1080	direct_effect_ridge	compositional_ridge	-0.0016272005935930867	0.0018214947222395463	0.0001942941286464605	30	29	0.0001942941286464596	8.944667923005412e-19	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	135	1080	direct_effect_ridge	CPA_0.8.8	0.05197695343006651	0.0018214947222395463	0.05379844815230606	30	0	0.053798448152306055	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	8	64	direct_effect_ridge	additive	0.01095073019939172	0.030771096581544737	0.04172182678093646	30	0	0.04172182678093646	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	8	64	direct_effect_ridge	compositional_ridge	0.010414221420650812	0.030771096581544737	0.041185318002195555	30	0	0.04118531800219555	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	8	64	direct_effect_ridge	CPA_0.8.8	0.1580379886401877	0.030771096581544737	0.18880908522173245	30	0	0.18880908522173243	2.7755575615628914e-17	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	16	128	direct_effect_ridge	additive	0.01854062291092871	0.015340822696117635	0.03388144560704634	30	0	0.03388144560704635	-6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	16	128	direct_effect_ridge	compositional_ridge	0.018004114132187797	0.015340822696117635	0.03334493682830544	30	0	0.03334493682830543	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	16	128	direct_effect_ridge	CPA_0.8.8	0.16526199075142908	0.015340822696117635	0.18060281344754672	30	0	0.18060281344754672	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	32	256	direct_effect_ridge	additive	0.02244317405124254	0.0077340105629845465	0.030177184614227085	30	0	0.03017718461422709	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	32	256	direct_effect_ridge	compositional_ridge	0.02190666527250163	0.0077340105629845465	0.029640675835486175	30	0	0.02964067583548618	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	32	256	direct_effect_ridge	CPA_0.8.8	0.1682405706873415	0.0077340105629845465	0.17597458125032606	30	0	0.17597458125032603	2.7755575615628914e-17	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	64	512	direct_effect_ridge	additive	0.024535296158654792	0.0038389955844027146	0.028374291743057497	30	0	0.028374291743057507	-1.0408340855860843e-17	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	64	512	direct_effect_ridge	compositional_ridge	0.023998787379913882	0.0038389955844027146	0.027837782964316594	30	0	0.027837782964316597	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	64	512	direct_effect_ridge	CPA_0.8.8	0.1698643289240986	0.0038389955844027146	0.17370332450850137	30	0	0.17370332450850132	5.551115123125783e-17	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	128	1024	direct_effect_ridge	additive	0.02548070937014841	0.0019173976591933101	0.02739810702934171	30	0	0.027398107029341718	-6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	128	1024	direct_effect_ridge	compositional_ridge	0.0249442005914075	0.0019173976591933101	0.026861598250600804	30	0	0.026861598250600808	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	128	1024	direct_effect_ridge	CPA_0.8.8	0.17090306303885827	0.0019173976591933101	0.17282046069805157	30	0	0.17282046069805157	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	135	1080	direct_effect_ridge	additive	0.025569256559284232	0.0018214947222395463	0.027390751281523774	30	0	0.027390751281523778	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	135	1080	direct_effect_ridge	compositional_ridge	0.025032747780543325	0.0018214947222395463	0.026854242502782868	30	0	0.02685424250278287	-3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBFA2T3+FEV	135	1080	direct_effect_ridge	CPA_0.8.8	0.17084729779765445	0.0018214947222395463	0.172668792519894	30	0	0.172668792519894	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	8	64	direct_effect_ridge	additive	-0.016524173849179088	0.030771096581544737	0.014246922732365656	30	30	0.01424692273236565	6.938893903907228e-18	True	True	True	False	False	state_to_effect
CBFA2T3+POU3F2	8	64	direct_effect_ridge	compositional_ridge	0.0038834711442911063	0.030771096581544737	0.03465456772583585	30	0	0.03465456772583585	0.0	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	8	64	direct_effect_ridge	CPA_0.8.8	0.05840584471406951	0.030771096581544737	0.08917694129561426	30	0	0.08917694129561425	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
CBFA2T3+POU3F2	16	128	direct_effect_ridge	additive	-0.008890368391546074	0.015340822696117635	0.006450454304571566	30	30	0.00645045430457156	6.071532165918825e-18	True	True	True	False	False	state_to_effect
CBFA2T3+POU3F2	16	128	direct_effect_ridge	compositional_ridge	0.01151727660192412	0.015340822696117635	0.02685809929804176	30	0	0.026858099298041754	6.938893903907228e-18	False	False	False	False	False	effect_preferred_both
