realization_id	root_task_index	root_id	root_index	task_id	task_index	construction	pca64_standardized_mse	scgen_standardized_mse	pca64_utility	scgen_utility	pca64_minus_scgen	expected_pca64_utility	expected_scgen_utility	maximum_method_absolute_error_vs_expected
q1	39	R48	7	T05	4	rotation	0.3031112215900989	0.43604181191996688	-0.3031112215900989	-0.43604181191996688	0.13293059032986798	-0.3031112215900989	-0.43604181191996688	0
q2	0	R41	0	T01	0	shared	0.14962566904563082	0.12470023262307481	-0.14962566904563082	-0.12470023262307481	-0.024925436422556013	-0.14962566904563082	-0.12470023262307481	0
q2	1	R41	0	T02	1	shared	0.1461298130889534	0.11446970204524945	-0.1461298130889534	-0.11446970204524945	-0.031660111043703948	-0.1461298130889534	-0.11446970204524945	0
q2	2	R41	0	T03	2	shared	0.19446307983519059	0.15685565157384357	-0.19446307983519059	-0.15685565157384357	-0.037607428261347026	-0.19446307983519059	-0.15685565157384357	0
q2	3	R41	0	T04	3	shared	0.14599883516597587	0.11514440084134336	-0.14599883516597587	-0.11514440084134336	-0.030854434324632501	-0.14599883516597587	-0.11514440084134336	0
q2	4	R41	0	T05	4	shared	0.21107275784566229	0.16096677382799873	-0.21107275784566229	-0.16096677382799873	-0.050105984017663557	-0.21107275784566229	-0.16096677382799873	0
q2	5	R42	1	T01	0	shared	0.14426466196132154	0.11661298039399708	-0.14426466196132154	-0.11661298039399708	-0.027651681567324463	-0.14426466196132154	-0.11661298039399708	0
q2	6	R42	1	T02	1	shared	0.14333762278491941	0.11516789948427382	-0.14333762278491941	-0.11516789948427382	-0.028169723300645585	-0.14333762278491941	-0.11516789948427382	0
q2	7	R42	1	T03	2	shared	0.16406201614961829	0.13318110618870768	-0.16406201614961829	-0.13318110618870768	-0.030880909960910613	-0.16406201614961829	-0.13318110618870768	0
q2	8	R42	1	T04	3	shared	0.11757851304999059	0.094784823810666871	-0.11757851304999059	-0.094784823810666871	-0.022793689239323719	-0.11757851304999059	-0.094784823810666871	0
q2	9	R42	1	T05	4	shared	0.19988234399148957	0.14835999702904187	-0.19988234399148957	-0.14835999702904187	-0.051522346962447702	-0.19988234399148957	-0.14835999702904187	0
q2	10	R43	2	T01	0	shared	0.13628463660827317	0.10127196606645389	-0.13628463660827317	-0.10127196606645389	-0.03501267054181928	-0.13628463660827317	-0.10127196606645389	0
q2	11	R43	2	T02	1	shared	0.13275852290927095	0.10294178892612435	-0.13275852290927095	-0.10294178892612435	-0.029816733983146604	-0.13275852290927095	-0.10294178892612435	0
q2	12	R43	2	T03	2	shared	0.16055364768688027	0.11618418593335318	-0.16055364768688027	-0.11618418593335318	-0.044369461753527087	-0.16055364768688027	-0.11618418593335318	0
q2	13	R43	2	T04	3	shared	0.12328958394533082	0.1040952002953274	-0.12328958394533082	-0.1040952002953274	-0.019194383650003422	-0.12328958394533082	-0.1040952002953274	0
q2	14	R43	2	T05	4	shared	0.18581968199878068	0.15377044407609541	-0.18581968199878068	-0.15377044407609541	-0.03204923792268527	-0.18581968199878068	-0.15377044407609541	0
q2	15	R44	3	T01	0	shared	0.14551025945069246	0.11181321320728524	-0.14551025945069246	-0.11181321320728524	-0.033697046243407219	-0.14551025945069246	-0.11181321320728524	0
q2	16	R44	3	T02	1	shared	0.1282951227850008	0.106075564672776	-0.1282951227850008	-0.106075564672776	-0.022219558112224799	-0.1282951227850008	-0.106075564672776	0
q2	17	R44	3	T03	2	shared	0.16588715137846913	0.12525877488159773	-0.16588715137846913	-0.12525877488159773	-0.040628376496871399	-0.16588715137846913	-0.12525877488159773	0
q2	18	R44	3	T04	3	shared	0.14402108816743817	0.10845965514209641	-0.14402108816743817	-0.10845965514209641	-0.03556143302534176	-0.14402108816743817	-0.10845965514209641	0
q2	19	R44	3	T05	4	shared	0.18498536382530997	0.13714768757289125	-0.18498536382530997	-0.13714768757289125	-0.04783767625241872	-0.18498536382530997	-0.13714768757289125	0
q2	20	R45	4	T01	0	shared	0.12802640069142035	0.097747293429877313	-0.12802640069142035	-0.097747293429877313	-0.030279107261543037	-0.12802640069142035	-0.097747293429877313	0
