realization_id	root_id	root_index	construction	pca64_mean_standardized_mse	scgen_mean_standardized_mse	pca64_mean_utility	scgen_mean_utility	pca64_minus_scgen
q4	R43	2	split	0.21850504802052567	0.3330373249685214	-0.21850504802052567	-0.3330373249685214	0.11453227694799573
q4	R44	3	split	0.227459011696476	0.33237230418309449	-0.227459011696476	-0.33237230418309449	0.10491329248661849
q4	R45	4	split	0.23377569566011025	0.35183150253900902	-0.23377569566011025	-0.35183150253900902	0.11805580687889877
q4	R46	5	split	0.24182021700412831	0.3640030127442021	-0.24182021700412831	-0.3640030127442021	0.12218279574007379
q4	R47	6	split	0.28530535091234288	0.4352992258685674	-0.28530535091234288	-0.4352992258685674	0.14999387495622452
q4	R48	7	split	0.24791674256567423	0.3683431929063864	-0.24791674256567423	-0.3683431929063864	0.12042645034071217
q4	R41	0	rotation	0.25119769092008842	0.38442945034541481	-0.25119769092008842	-0.38442945034541481	0.13323175942532639
q4	R42	1	rotation	0.22796301815701153	0.34581465590545268	-0.22796301815701153	-0.34581465590545268	0.11785163774844115
q4	R43	2	rotation	0.22043031882524183	0.33497503091280006	-0.22043031882524183	-0.33497503091280006	0.11454471208755823
q4	R44	3	rotation	0.2279507362516652	0.34331133756363519	-0.2279507362516652	-0.34331133756363519	0.11536060131196998
q4	R45	4	rotation	0.22831354583291086	0.34383206890873058	-0.22831354583291086	-0.34383206890873058	0.11551852307581972
q4	R46	5	rotation	0.2389618684805494	0.3655277899072078	-0.2389618684805494	-0.3655277899072078	0.1265659214266584
q4	R47	6	rotation	0.28058487481755556	0.43538971513971569	-0.28058487481755556	-0.43538971513971569	0.15480484032216013
q4	R48	7	rotation	0.24453295507075867	0.36778975752222043	-0.24453295507075867	-0.36778975752222043	0.12325680245146176
q5	R41	0	shared	0.16945803099628259	0.13845656726252525	-0.16945803099628259	-0.13845656726252525	-0.03100146373375734
q5	R42	1	shared	0.15382503158746791	0.12323693391020356	-0.15382503158746791	-0.12323693391020356	-0.03058809767726435
q5	R43	2	shared	0.14774121462970718	0.11955105384698558	-0.14774121462970718	-0.11955105384698558	-0.028190160782721602
q5	R44	3	shared	0.15373979712138211	0.12179789872619247	-0.15373979712138211	-0.12179789872619247	-0.031941898395189641
q5	R45	4	shared	0.15403217075315662	0.11880674486359802	-0.15403217075315662	-0.11880674486359802	-0.035225425889558598
q5	R46	5	shared	0.1597461600883649	0.12681153686470378	-0.1597461600883649	-0.12681153686470378	-0.032934623223661114
