dataset	regime	reference_depth	family	readout	root_index	value
gse162632	original8	8	CellOT	S_to_M	6	1.059196859850194e-11
gse162632	original8	8	CellOT	S_to_M	7	-5.9767582549774546e-12
gse162632	cap48	8	scGen	raw_state	0	0.11091119558730397
gse162632	cap48	8	scGen	raw_state	1	0.10849547003596331
gse162632	cap48	8	scGen	raw_state	2	0.10829471632978313
gse162632	cap48	8	scGen	raw_state	3	0.10856709573555365
gse162632	cap48	8	scGen	raw_state	4	0.10204783071881443
gse162632	cap48	8	scGen	raw_state	5	0.10473030513530851
gse162632	cap48	8	scGen	raw_state	6	0.10912115626300191
gse162632	cap48	8	scGen	raw_state	7	0.10620524285707468
gse162632	cap48	8	scGen	input_centered_effect	0	0.48384331843751455
gse162632	cap48	8	scGen	input_centered_effect	1	0.4662640056318013
gse162632	cap48	8	scGen	input_centered_effect	2	0.456795739011762
gse162632	cap48	8	scGen	input_centered_effect	3	0.45705223731045935
gse162632	cap48	8	scGen	input_centered_effect	4	0.4640277731462679
gse162632	cap48	8	scGen	input_centered_effect	5	0.47914817972373774
gse162632	cap48	8	scGen	input_centered_effect	6	0.4992316114847781
gse162632	cap48	8	scGen	input_centered_effect	7	0.4785377454816271
gse162632	cap48	8	scGen	reference	0	0.4945971765783124
gse162632	cap48	8	scGen	reference	1	0.4772762745684007
gse162632	cap48	8	scGen	reference	2	0.4681235466829002
gse162632	cap48	8	scGen	reference	3	0.4676773835581799
gse162632	cap48	8	scGen	reference	4	0.4737203334423644
gse162632	cap48	8	scGen	reference	5	0.4890371039141158
gse162632	cap48	8	scGen	reference	6	0.5086716093608081
gse162632	cap48	8	scGen	reference	7	0.4879458449993468
gse162632	cap48	8	scGen	D_to_O	0	0.011411651798555056
gse162632	cap48	8	scGen	D_to_O	1	0.011080893164572331
gse162632	cap48	8	scGen	D_to_O	2	0.011102526671162733
gse162632	cap48	8	scGen	D_to_O	3	0.010806100866697919
gse162632	cap48	8	scGen	D_to_O	4	0.009751469920461173
gse162632	cap48	8	scGen	D_to_O	5	0.010271373836675859
gse162632	cap48	8	scGen	D_to_O	6	0.01071101550405053
gse162632	cap48	8	scGen	D_to_O	7	0.010186163718398084
gse162632	cap48	8	scGen	D_to_P	0	-0.011411651800734793
gse162632	cap48	8	scGen	D_to_P	1	-0.011080893168894173
gse162632	cap48	8	scGen	D_to_P	2	-0.011102526675181646
gse162632	cap48	8	scGen	D_to_P	3	-0.010806100865083235
gse162632	cap48	8	scGen	D_to_P	4	-0.009751469909961426
gse162632	cap48	8	scGen	D_to_P	5	-0.010271373835561077
gse162632	cap48	8	scGen	D_to_P	6	-0.010711015503771482
gse162632	cap48	8	scGen	D_to_P	7	-0.010186163716571306
gse162632	cap48	8	scGen	S_to_M	0	-4.524351430538568e-12
gse162632	cap48	8	scGen	S_to_M	1	5.564234485203971e-12
gse162632	cap48	8	scGen	S_to_M	2	1.936353410947334e-12
gse162632	cap48	8	scGen	S_to_M	3	1.8899075221456842e-12
gse162632	cap48	8	scGen	S_to_M	4	-5.418853578816515e-12
gse162632	cap48	8	scGen	S_to_M	5	-3.3315628820510907e-12
gse162632	cap48	8	scGen	S_to_M	6	-3.902910004442243e-12
