matching_id	graph_id	cardinality	model	utility_sum_numerator	utility_sum_denominator
M032	G12	12	RBF	108066977014472557	9007199254740992
M032	G12	12	CPA	25836458671155123	2251799813685248
M032	G12	12	scGen	27004367925332929	2251799813685248
M032	G12	12	CellOT	107005300882955299	9007199254740992
M033	G12	12	NC	108066344803679699	9007199254740992
M033	G12	12	CM	108066385732031769	9007199254740992
M033	G12	12	TW	27016605026499961	2251799813685248
M033	G12	12	PCA	27016605026499961	2251799813685248
M033	G12	12	RBF	54033240716500969	4503599627370496
M033	G12	12	CPA	51674121092876833	4503599627370496
M033	G12	12	scGen	108017580029889793	9007199254740992
M033	G12	12	CellOT	107001971909106059	9007199254740992
M034	G12	12	NC	108066366180002721	9007199254740992
M034	G12	12	CM	13508252110194869	1125899906842624
M034	G12	12	TW	108066048627806361	9007199254740992
M034	G12	12	PCA	108066048627806361	9007199254740992
M034	G12	12	RBF	108066128660033161	9007199254740992
M034	G12	12	CPA	807612781337341	70368744177664
M034	G12	12	scGen	108018257827252255	9007199254740992
M034	G12	12	CellOT	53495195296758565	4503599627370496
M035	G12	12	NC	54033187377951195	4503599627370496
M035	G12	12	CM	54033058619760037	4503599627370496
M035	G12	12	TW	54033076910889961	4503599627370496
M035	G12	12	PCA	54033076910889961	4503599627370496
M035	G12	12	RBF	108066228538771021	9007199254740992
M035	G12	12	CPA	103340466266421193	9007199254740992
M035	G12	12	scGen	54008501820511575	4503599627370496
M035	G12	12	CellOT	53501141098011051	4503599627370496
M036	G12	12	NC	108066388333641105	9007199254740992
M036	G12	12	CM	54033255658100815	4503599627370496
M036	G12	12	TW	3377079458139443	281474976710656
M036	G12	12	PCA	3377079458139443	281474976710656
M036	G12	12	RBF	54033300415986877	4503599627370496
M036	G12	12	CPA	103361609915038277	9007199254740992
M036	G12	12	scGen	108017241505805377	9007199254740992
M036	G12	12	CellOT	53500168001928519	4503599627370496
M037	G12	12	NC	6754150099693047	562949953421312
M037	G12	12	CM	54033041953161427	4503599627370496
M037	G12	12	TW	27016528762934087	2251799813685248
M037	G12	12	PCA	27016528762934087	2251799813685248
M037	G12	12	RBF	108066193745431197	9007199254740992
M037	G12	12	CPA	103361135974663873	9007199254740992
M037	G12	12	scGen	54008571704869269	4503599627370496
M037	G12	12	CellOT	106994674832702857	9007199254740992
M038	G12	12	NC	108066416536590013	9007199254740992
M038	G12	12	CM	54033126258742731	4503599627370496
M038	G12	12	TW	13508285415737113	1125899906842624
M038	G12	12	PCA	13508285415737113	1125899906842624
M038	G12	12	RBF	27016588737843049	2251799813685248
M038	G12	12	CPA	51687353875436963	4503599627370496
M038	G12	12	scGen	108017847124341671	9007199254740992
M038	G12	12	CellOT	53497631848639511	4503599627370496
M039	G12	12	NC	108066433153251011	9007199254740992
M039	G12	12	CM	108066886557010917	9007199254740992
M039	G12	12	TW	108066922596956983	9007199254740992
M039	G12	12	PCA	108066922596956983	9007199254740992
M039	G12	12	RBF	108066964393587025	9007199254740992
M039	G12	12	CPA	103336445088731753	9007199254740992
M039	G12	12	scGen	54008008089086063	4503599627370496
M039	G12	12	CellOT	107003896222919067	9007199254740992
M040	G12	12	NC	54033260784485739	4503599627370496
M040	G12	12	CM	108066415597126725	9007199254740992
M040	G12	12	TW	108066448315101929	9007199254740992
M040	G12	12	PCA	108066448315101929	9007199254740992
M040	G12	12	RBF	108066516828415623	9007199254740992
M040	G12	12	CPA	25842105658919483	2251799813685248
M040	G12	12	scGen	108017943947611007	9007199254740992
M040	G12	12	CellOT	53498527862048245	4503599627370496
M041	G12	12	NC	108066556984057509	9007199254740992
M041	G12	12	CM	108066482621890627	9007199254740992
M041	G12	12	TW	27016628684757979	2251799813685248
