condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	P	0.0148506520089043	0.015022440587213999	0.00017178857830969999	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	O	0.0148506520089043	0.0146788634305945	-0.00017178857830969999	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	D	0.0148506520089043	0.0148506520089043	-4.6259292692714865e-19	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	S	0.041323264093819798	0.041323264093819798	0	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	M	0.041323264093819798	0.041323264093819798	-1.1564823173178713e-18	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	P	0.041323264093819798	0.0105521675122751	-0.030771096581544699	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	O	0.041323264093819798	0.0105521675122751	-0.030771096581544699	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	D	0.041323264093819798	0.0105521675122751	-0.030771096581544699	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	S	0.033407983511261799	0.033407983511261799	0	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	M	0.033407983511261799	0.033407983511261799	2.3129646346357432e-19	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	P	0.033407983511261799	0.0180671608151441	-0.0153408226961176	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	O	0.033407983511261799	0.0180671608151441	-0.0153408226961176	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	D	0.033407983511261799	0.0180671608151441	-0.0153408226961176	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	S	0.0299493221385972	0.0299493221385972	0	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	M	0.0299493221385972	0.0299493221385972	-2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	P	0.0299493221385972	0.022215311575612701	-0.0077340105629844997	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	O	0.0299493221385972	0.022215311575612701	-0.0077340105629844997	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	D	0.0299493221385972	0.022215311575612701	-0.0077340105629844997	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	S	0.028131446302336601	0.028131446302336601	0	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	M	0.028131446302336601	0.028131446302336601	2.3129646346357432e-19	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	P	0.028131446302336601	0.024292450717933799	-0.0038389955844026998	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	O	0.028131446302336601	0.024292450717933799	-0.0038389955844026998	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	D	0.028131446302336601	0.024292450717933799	-0.0038389955844026998	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	S	0.027129018547027699	0.027129018547027699	0	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	M	0.027129018547027699	0.027129018547027699	4.6259292692714865e-19	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	P	0.027129018547027699	0.0252116208878344	-0.0019173976591932999	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	O	0.027129018547027699	0.0252116208878344	-0.0019173976591932999	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	D	0.027129018547027699	0.0252116208878344	-0.0019173976591932999	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	S	0.027104252768413599	0.027104252768413599	0	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	M	0.027104252768413599	0.027104252768413599	0	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	P	0.027104252768413599	0.025282758046174102	-0.0018214947222395001	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	O	0.027104252768413599	0.025282758046174102	-0.0018214947222395001	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	D	0.027104252768413599	0.025282758046174102	-0.0018214947222395001	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.0159282814661552	0.0159282814661552	0	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.0159282814661552	0.0159282814661552	-3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.0159282814661552	0.0189380523936339	0.0030097709274786002	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.0159282814661552	0.0129185105386765	-0.0030097709274786002	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.0159282814661552	0.0159282814661552	-2.312964634635743e-18	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014953420309607101	0.014953420309607101	0	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014953420309607101	0.014953420309607101	-3.1225022567582532e-18	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014953420309607101	0.016432765950101201	0.001479345640494	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014953420309607101	0.013474074669113101	-0.001479345640494	0	30	False
BAK1+KLF1	16	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014953420309607101	0.014953420309607101	-1.3877787807814459e-18	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014863838908505201	0.014863838908505201	0	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014863838908505201	0.014863838908505201	-3.23815048849004e-18	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014863838908505201	0.015625698723269198	0.00076185981476400001	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014863838908505201	0.014101979093741199	-0.00076185981476400001	0	30	False
BAK1+KLF1	32	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014863838908505201	0.014863838908505201	-2.1973164029039559e-18	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014750641352792001	0.014750641352792001	0	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014750641352792001	0.014750641352792001	-3.23815048849004e-18	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014750641352792001	0.015104238417027601	0.00035359706423549999	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014750641352792001	0.0143970442885564	-0.00035359706423549999	0	30	False
BAK1+KLF1	64	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014750641352792001	0.014750641352792001	-2.5442610980993173e-18	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014607366317392101	0.014607366317392101	0	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014607366317392101	0.014607366317392	-3.4694469519536142e-18	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014607366317392101	0.0147849246557863	0.0001775583383942	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014607366317392101	0.014429807978997801	-0.0001775583383942	0	30	False
BAK1+KLF1	128	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014607366317392101	0.014607366317392	-1.908195823574488e-18	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.014637962050581901	0.014637962050581901	0	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.014637962050581901	0.014637962050581901	-3.4694469519536142e-18	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.014637962050581901	0.014809750628891701	0.00017178857830969999	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.014637962050581901	0.0144661734722721	-0.00017178857830969999	0	30	False
BAK1+KLF1	135	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.014637962050581901	0.014637962050581901	-1.9660199394403813e-18	0	30	False
