allocation	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_tasks	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
3	135	1080	direct_effect_ridge	CPA_0.8.8	0.06927582519926624	0.0018556108691784683	0.07113143606844471	55	0	0.07113143606844471	0.0	False	False	False	False	False	effect_preferred_both
4	8	64	direct_effect_ridge	additive	-0.010636295646629806	0.02937461345333976	0.018738317806709957	55	45	0.018738317806709953	3.469446951953614e-18	True	True	True	False	False	state_to_effect
4	8	64	direct_effect_ridge	compositional_ridge	-0.011427531711555122	0.02937461345333976	0.01794708174178464	55	40	0.017947081741784637	3.469446951953614e-18	True	True	True	False	False	state_to_effect
4	8	64	direct_effect_ridge	CPA_0.8.8	0.05040793623931495	0.02937461345333976	0.07978254969265472	55	4	0.0797825496926547	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
4	16	128	direct_effect_ridge	additive	-0.0022255765110444736	0.01415615975379698	0.011930583242752507	55	35	0.011930583242752505	1.734723475976807e-18	True	True	True	False	False	state_to_effect
4	16	128	direct_effect_ridge	compositional_ridge	-0.0030168125759697908	0.01415615975379698	0.011139347177827188	55	32	0.011139347177827188	0.0	True	True	True	False	False	state_to_effect
4	16	128	direct_effect_ridge	CPA_0.8.8	0.06449504216913682	0.01415615975379698	0.0786512019229338	55	2	0.0786512019229338	0.0	False	False	False	False	False	effect_preferred_both
4	32	256	direct_effect_ridge	additive	0.0011952817245262906	0.0072405558509269705	0.008435837575453261	55	17	0.008435837575453261	0.0	False	False	False	False	False	effect_preferred_both
4	32	256	direct_effect_ridge	compositional_ridge	0.0004040456596009735	0.0072405558509269705	0.007644601510527945	55	26	0.007644601510527944	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
4	32	256	direct_effect_ridge	CPA_0.8.8	0.06865567853636498	0.0072405558509269705	0.07589623438729194	55	2	0.07589623438729196	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
4	64	512	direct_effect_ridge	additive	0.0029892550830987823	0.0035890862185479016	0.006578341301646684	55	9	0.006578341301646684	0.0	False	False	False	False	False	effect_preferred_both
4	64	512	direct_effect_ridge	compositional_ridge	0.002198019018173465	0.0035890862185479016	0.005787105236721366	55	15	0.005787105236721367	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
4	64	512	direct_effect_ridge	CPA_0.8.8	0.07024937074464421	0.0035890862185479016	0.07383845696319212	55	0	0.07383845696319212	0.0	False	False	False	False	False	effect_preferred_both
4	128	1024	direct_effect_ridge	additive	0.0038455127000830464	0.0018740658319742044	0.005719578532057249	55	3	0.005719578532057251	-1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
4	128	1024	direct_effect_ridge	compositional_ridge	0.0030542766351577292	0.0018740658319742044	0.004928342467131932	55	11	0.0049283424671319334	-1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
4	128	1024	direct_effect_ridge	CPA_0.8.8	0.07022244796583514	0.0018740658319742044	0.07209651379780933	55	0	0.07209651379780935	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
4	135	1080	direct_effect_ridge	additive	0.003911693211377993	0.001759209025422871	0.005670902236800865	55	3	0.005670902236800864	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
4	135	1080	direct_effect_ridge	compositional_ridge	0.003120457146452676	0.001759209025422871	0.004879666171875547	55	10	0.004879666171875547	0.0	False	False	False	False	False	effect_preferred_both
