completed_epoch	autoencoder_lr	doser_lr	adversary_lr
180	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
181	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
182	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
183	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
184	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
185	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
186	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
187	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
188	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
189	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
190	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
191	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
192	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
193	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
194	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
195	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
196	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
197	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
198	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
199	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
200	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
201	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
202	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
203	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
204	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
205	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
206	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
207	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
208	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
209	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
210	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
211	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
212	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
213	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
214	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
215	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
216	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
217	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
218	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
219	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
220	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
221	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
222	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
223	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
224	6.561000000000002e-05	6.561000000000002e-05	6.561000000000002e-05
225	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
226	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
227	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
228	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
229	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
230	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
231	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
232	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
233	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
234	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
235	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
236	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
237	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
238	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
239	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
240	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
241	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
242	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
243	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
244	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
245	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
246	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
247	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
248	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
249	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
250	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
251	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
252	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
253	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
254	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
255	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
256	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
257	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
258	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
259	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
260	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
261	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
262	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
263	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
264	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
265	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
266	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
267	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
268	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
269	5.904900000000002e-05	5.904900000000002e-05	5.904900000000002e-05
270	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
271	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
272	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
273	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
274	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
275	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
276	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
277	5.314410000000002e-05	5.314410000000002e-05	5.314410000000002e-05
