panel_id	axis_variant_order	axis_variant	axis_variant_label	root_count_R	cell_id	events	trials	point_estimate	interval_lower	interval_upper	interval_method	alias_endpoint_verified
F2B_GLOBAL_NULL_CALIBRATION	7	MISS050	Missing 0.50	12	SIMV1__DZ000__R12__AXMISS050	30	5000	0.0060000000000000001	0.0040517282786946187	0.0085543801346865608	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	7	MISS050	Missing 0.50	20	SIMV1__DZ000__R20__AXMISS050	83	5000	0.0166	0.013242931039371429	0.020537154596397125	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	7	MISS050	Missing 0.50	40	SIMV1__DZ000__R40__AXMISS050	126	5000	0.0252	0.021034670741797434	0.029931413808363751	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	8	SUPPORT_MILD	Mild support imbalance	8	SIMV1__DZ000__R08__AXSUPPORT_MILD	204	5000	0.040800000000000003	0.035486280890209582	0.04665791821220263	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	8	SUPPORT_MILD	Mild support imbalance	12	SIMV1__DZ000__R12__AXSUPPORT_MILD	175	5000	0.035000000000000003	0.030079063580500661	0.040472981523377041	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	8	SUPPORT_MILD	Mild support imbalance	20	SIMV1__DZ000__R20__AXSUPPORT_MILD	69	5000	0.0138	0.010752662694381911	0.017432713080105255	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	8	SUPPORT_MILD	Mild support imbalance	40	SIMV1__DZ000__R40__AXSUPPORT_MILD	187	5000	0.037400000000000003	0.032312435479992525	0.043036332628467976	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	9	SUPPORT_MODERATE	Moderate support imbalance	8	SIMV1__DZ000__R08__AXSUPPORT_MODERATE	218	5000	0.0436	0.038107880238271191	0.049632610099231381	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	9	SUPPORT_MODERATE	Moderate support imbalance	12	SIMV1__DZ000__R12__AXSUPPORT_MODERATE	190	5000	0.037999999999999999	0.032871714409496197	0.043676241556488221	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	9	SUPPORT_MODERATE	Moderate support imbalance	20	SIMV1__DZ000__R20__AXSUPPORT_MODERATE	82	5000	0.016400000000000001	0.013064102533060075	0.020316343859315602	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	9	SUPPORT_MODERATE	Moderate support imbalance	40	SIMV1__DZ000__R40__AXSUPPORT_MODERATE	153	5000	0.030599999999999999	0.026001791224698811	0.035756402705232906	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	10	SUPPORT_SEVERE	Severe support imbalance	8	SIMV1__DZ000__R08__AXSUPPORT_SEVERE	237	5000	0.047399999999999998	0.041675883855326022	0.053659637309145303	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	10	SUPPORT_SEVERE	Severe support imbalance	12	SIMV1__DZ000__R12__AXSUPPORT_SEVERE	172	5000	0.0344	0.029521702513724102	0.039831169550993022	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	10	SUPPORT_SEVERE	Severe support imbalance	20	SIMV1__DZ000__R20__AXSUPPORT_SEVERE	82	5000	0.016400000000000001	0.013064102533060075	0.020316343859315602	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	10	SUPPORT_SEVERE	Severe support imbalance	40	SIMV1__DZ000__R40__AXSUPPORT_SEVERE	191	5000	0.038199999999999998	0.033058220512597179	0.043889465327204454	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
