cohort	assignment_index	prediction_index	label_id	inference_block	observation_block	evaluation	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	donor_count	task_count	D_lower_mse_donors	D_lower_mae_donors	D_lower_mse_tasks	D_lower_mae_tasks
extension39_four_types	42	10	300	2	3	independent_observation	0.01940296071929401	0.015018066785241552	-0.004384893934052458	0.1074680934653936	0.09311863938519722	-0.014349454080196368	0.055497387851621706	39	156	37	38	137	134
extension34_five_types	42	10	300	2	3	independent_observation	0.018760016596210415	0.014451104167906554	-0.004308912428303858	0.10590260538208518	0.09167021109603647	-0.014232394286048713	0.0545508532192448	34	170	33	34	149	146
primary39_two_types	43	10	300	2	all_excluding_input	deeper_observation	0.010376544171077043	0.005620048602685785	-0.004756495568391258	0.07616038375728017	0.05133513716353269	-0.024825246593747456	0.062146508875622244	39	78	34	33	69	68
extension39_four_types	43	10	300	2	all_excluding_input	deeper_observation	0.00814048566761027	0.003948648714779541	-0.004191836952830729	0.06667435494167985	0.04099421377144387	-0.025680141170235975	0.055497387851621706	39	156	37	39	145	145
extension34_five_types	43	10	300	2	all_excluding_input	deeper_observation	0.008150183618177686	0.003946428357506465	-0.004203755260671222	0.06736803620811367	0.04209022514572286	-0.025277811062390812	0.0545508532192448	34	170	34	34	159	160
primary39_two_types	44	11	300	3	1	independent_observation	0.02239905548325854	0.018366107550720892	-0.004032947932537643	0.11507381951637045	0.10373709543802935	-0.01133672407834109	0.05933965317841883	39	78	33	31	61	58
extension39_four_types	44	11	300	3	1	independent_observation	0.01799577925947486	0.01435417683938878	-0.003641602420086081	0.1031025653834763	0.09106989812421881	-0.012032667259257487	0.05385868950643806	39	156	37	39	134	131
extension34_five_types	44	11	300	3	1	independent_observation	0.017348941444156406	0.013745022283912757	-0.0036039191602436466	0.10143393091036346	0.08929566647300972	-0.01213826443735374	0.05414514464776743	34	170	33	34	147	144
primary39_two_types	45	11	300	3	2	independent_observation	0.02224395812217735	0.018736328682855238	-0.0035076294393221142	0.11567316626903656	0.1057606572387459	-0.009912509030290662	0.05933965317841883	39	78	29	28	56	54
extension39_four_types	45	11	300	3	2	independent_observation	0.01767057839892522	0.014340051972148802	-0.003330526426776415	0.10257175300123915	0.09186150036222088	-0.010710252639018284	0.05385868950643806	39	156	35	35	130	125
extension34_five_types	45	11	300	3	2	independent_observation	0.01724922539603644	0.014006879838499468	-0.0032423455575369725	0.10127048489981327	0.09024529192891867	-0.011025192970894623	0.05414514464776743	34	170	32	33	140	136
primary39_two_types	46	11	300	3	3	shared_observation	0.016832898499659663	0.019904939366747906	0.0030720408670882474	0.09965003042492493	0.10832845313364384	0.008678422708718912	0.05933965317841883	39	78	15	12	22	26
extension39_four_types	46	11	300	3	3	shared_observation	0.011843884411552687	0.015018066785241552	0.003174182373688866	0.08161035634326763	0.09311863938519722	0.011508283041929593	0.05385868950643806	39	156	3	2	28	35
extension34_five_types	46	11	300	3	3	shared_observation	0.010920716076985094	0.014451104167906554	0.0035303880909214624	0.07824448872576883	0.09167021109603647	0.013425722370267632	0.05414514464776743	34	170	1	0	28	32
primary39_two_types	47	11	300	3	all_excluding_input	deeper_observation	0.01043754434014191	0.005649553593005603	-0.004787990747136307	0.07628701973980856	0.051476506050591536	-0.024810513689217023	0.05933965317841883	39	78	37	38	73	74
extension39_four_types	47	11	300	3	all_excluding_input	deeper_observation	0.007990877284894804	0.003962196078565804	-0.004028681206329	0.06633303965892537	0.04105915072948104	-0.025273888929444318	0.05385868950643806	39	156	38	39	151	152
extension34_five_types	47	11	300	3	all_excluding_input	deeper_observation	0.008087538540782886	0.00398473240269917	-0.004102806138083715	0.06718354800032401	0.04224600882294481	-0.0249375391773792	0.05414514464776743	34	170	33	34	165	166
primary39_two_types	48	12	400	1	1	shared_observation	0.015370737656506385	0.018005001060809128	0.002634263404302747	0.09312805006554484	0.10195014559999747	0.00882209553445263	0.05976611967010801	39	78	12	12	23	20
