label_id	inference_block	observation_block	evaluation	program_mse_S	program_mse_D	program_mse_D_minus_S	program_mae_S	program_mae_D	program_mae_D_minus_S	program_prediction_mae_difference	negative_task_mse_deltas	negative_donor_mse_deltas
500	3	1	independent_observation	0.01625067622461361	0.01191336308445951	-0.004337313140154101	0.09617689047508475	0.08347660005003593	-0.012700290425048825	0.05689980613660835	30	8
500	3	2	independent_observation	0.016362955685123838	0.01236435717122741	-0.00399859851389643	0.0961603155467826	0.08495025289110184	-0.011210062655680777	0.05689980613660835	32	8
500	3	3	shared_observation	0.0101708757566246	0.013289141341368079	0.0031182655847434796	0.0724937210184355	0.08707112453118289	0.014577403512747375	0.05689980613660835	7	1
600	1	1	shared_observation	0.010414495232612573	0.012188003727745573	0.0017735084951329984	0.07424721070919817	0.08516853483737677	0.010921324128178608	0.05665525494838144	7	1
600	1	2	independent_observation	0.01879752061613636	0.01357147855029561	-0.0052260420658407445	0.10212024472448472	0.08767144680261334	-0.014448797921871372	0.05665525494838144	34	7
600	1	3	independent_observation	0.01749935980753556	0.012528598147111457	-0.004970761660424101	0.10025079036344582	0.08521445995471581	-0.015036330408729995	0.05665525494838144	33	7
600	2	1	independent_observation	0.016961966569088056	0.012188003727745573	-0.0047739628413424875	0.10053739582159868	0.08516853483737677	-0.015368860984221898	0.05663023397991343	38	8
600	2	2	shared_observation	0.01005412401741225	0.01357147855029561	0.003517354532883366	0.07085885306945194	0.08767144680261334	0.016812593733161404	0.05663023397991343	4	1
600	2	3	independent_observation	0.0166887185139516	0.012528598147111457	-0.0041601203668401475	0.09860638421723773	0.08521445995471581	-0.013391924262521913	0.05663023397991343	36	7
600	3	1	independent_observation	0.016709486570593107	0.012188003727745573	-0.004521482842847536	0.09940331001615425	0.08516853483737677	-0.014234775178777475	0.056502704155352475	37	8
600	3	2	independent_observation	0.017047355609597834	0.01357147855029561	-0.0034758770593022203	0.09724878791926664	0.08767144680261334	-0.009577341116653298	0.056502704155352475	33	7
600	3	3	shared_observation	0.009760725888764064	0.012528598147111457	0.0027678722583473923	0.0716311414349978	0.08521445995471581	0.01358331851971803	0.056502704155352475	5	1
700	1	1	shared_observation	0.010160837010015687	0.011793459321764888	0.0016326223117492033	0.07138747167743674	0.08267790330582714	0.011290431628390392	0.05713907753106162	7	1
700	1	2	independent_observation	0.017244784340910667	0.01260328818194323	-0.004641496158967437	0.09949231029453824	0.08714714638683509	-0.012345163907703167	0.05713907753106162	36	7
700	1	3	independent_observation	0.018852624403826908	0.013520218825508565	-0.00533240557831834	0.10412632930270974	0.08910094072622458	-0.015025388576485143	0.05713907753106162	35	7
700	2	1	independent_observation	0.0168092699437917	0.011793459321764888	-0.0050158106220268076	0.09777307912178104	0.08267790330582714	-0.015095175815953902	0.05807607322765571	33	8
700	2	2	shared_observation	0.009543422708803343	0.01260328818194323	0.0030598654731398885	0.07076095955695584	0.08714714638683509	0.016386186829879242	0.05807607322765571	6	1
700	2	3	independent_observation	0.017571367751873925	0.013520218825508565	-0.004051148926365362	0.10196579433724955	0.08910094072622458	-0.01286485361102496	0.05807607322765571	33	7
