cohort	program_id	mse_S	mse_D	mse_D_minus_S	contribution_to_all37_mse_delta	contribution_to_secondary_without_IFNa36	mae_S	mae_D	mae_D_minus_S
primary39_two_types	HALLMARK_KRAS_SIGNALING_UP	0.02121475025623465	0.016565385943849393	-0.004649364312385256	-0.00012565849492933125	-0.00012914900867736824	0.11527182062144009	0.10185731904791114	-0.013414501573528956
primary39_two_types	HALLMARK_MITOTIC_SPINDLE	0.017786825329959226	0.015236788113439632	-0.0025500372165195937	-6.891992477079984e-05	-7.083436712554427e-05	0.11346782743402006	0.10415721983374139	-0.009310607600278673
primary39_two_types	HALLMARK_MTORC1_SIGNALING	0.01883339362963505	0.013378374653320972	-0.005455018976314077	-0.00014743294530578587	-0.00015152830489761326	0.11171399262367682	0.09588868935021658	-0.01582530327346024
primary39_two_types	HALLMARK_MYC_TARGETS_V1	0.01646050707705161	0.013069302265347188	-0.0033912048117044225	-9.165418410011952e-05	-9.420013365845618e-05	0.1037679741010244	0.09137325237279993	-0.012394721728224464
primary39_two_types	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.013615237762443088	0.012141086858456504	-0.001474150903986584	-3.984191632396173e-05	-4.094863622184955e-05	0.09464468611973453	0.08728197629082281	-0.007362709828911726
primary39_two_types	HALLMARK_P53_PATHWAY	0.01564624046304559	0.013301689484987599	-0.0023445509780579913	-6.336624265021598e-05	-6.512641605716642e-05	0.10559744412509557	0.09696200443925296	-0.008635439685842614
primary39_two_types	HALLMARK_PEROXISOME	0.02153115615510179	0.018149320246075833	-0.0033818359090259584	-9.14009705142151e-05	-9.393988636183218e-05	0.1209751557791063	0.10862739187867053	-0.012347763900435765
primary39_two_types	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.01718813998856483	0.014715885935214217	-0.0024722540533506122	-6.681767711758411e-05	-6.867372370418367e-05	0.10411212064333732	0.1001450858610716	-0.003967034782265719
primary39_two_types	HALLMARK_PROTEIN_SECRETION	0.019711452113370696	0.014210832493993655	-0.005500619619377041	-0.0001486653951182984	-0.00015279498942714003	0.11038972655309173	0.0976850614933601	-0.012704665059731626
primary39_two_types	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.029187353531841882	0.026270749509873768	-0.0029166040219681146	-7.882713572886796e-05	-8.101677838800318e-05	0.12838783301414788	0.12908276671534175	0.0006949337011938617
primary39_two_types	HALLMARK_TGF_BETA_SIGNALING	0.030698566930424248	0.02420073555242157	-0.006497831378002677	-0.0001756170642703426	-0.0001804953160556299	0.13581943032700405	0.12256202873244089	-0.013257401594563165
primary39_two_types	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.022381093582196702	0.022029965050586485	-0.0003511285316102168	-9.489960313789643e-06	-9.753570322506023e-06	0.11335116317840911	0.11268690633203392	-0.0006642568463751941
primary39_two_types	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.023703265057260378	0.015980926954524393	-0.007722338102735985	-0.00020871184061448607	-0.00021450939174266626	0.13064982814890008	0.105260345232037	-0.025389482916863076
primary39_two_types	HALLMARK_UV_RESPONSE_DN	0.01921294286203404	0.016076721728904102	-0.003136221133129939	-8.47627333278362e-05	-8.711725369805387e-05	0.10830492455616363	0.10348690525569729	-0.004818019300466339
primary39_two_types	HALLMARK_UV_RESPONSE_UP	0.022788772183667323	0.016968393300658545	-0.005820378883008778	-0.00015730753737861562	-0.00016167719119468827	0.1206765894213989	0.10295414427564706	-0.017722445145751844
primary39_two_types	HALLMARK_XENOBIOTIC_METABOLISM	0.0437111555808607	0.030869821402912754	-0.012841334177947947	-0.00034706308589048504	-0.00035670372716522077	0.1717904128373529	0.14589952537499562	-0.025890887462357293
extension39_four_types	HALLMARK_ADIPOGENESIS	0.010160090712822945	0.0073674286424377546	-0.0027926620703851903	-7.54773532536538e-05	-7.757394639958862e-05	0.081693984151038	0.06902808526207382	-0.012665898888964175
extension39_four_types	HALLMARK_ALLOGRAFT_REJECTION	0.008459765403525403	0.007212415446932629	-0.0012473499565927746	-3.371216098899391e-05	-3.464860990535485e-05	0.07359176989768201	0.0685540888789827	-0.005037681018699308
