cohort	donor_id	batch_id	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	orientation
extension39_four_types	V20	B04	0.025373795701602378	0.020524519637281653	-0.004849276064320725	0.11779533383038585	0.11420561268463998	-0.0035897211457458465	0.04917641894578342	O2
extension39_four_types	V21	B05	0.022027263677514314	0.016378348758852024	-0.005648914918662288	0.11221196973313766	0.09818609447319193	-0.014025875259945725	0.04754831319160749	O1
extension39_four_types	V22	B05	0.011057003505414702	0.007595842564367565	-0.003461160941047136	0.08239099961568982	0.06861565820500716	-0.013775341410682663	0.04964189808850884	O1
extension39_four_types	V23	B05	0.014173041919625566	0.013455900149107022	-0.0007171417705185423	0.09557321400585275	0.09352654674962645	-0.00204666725622632	0.05292409549936829	O1
extension39_four_types	V24	B05	0.014585776565086889	0.010091959909502578	-0.00449381665558431	0.09597677203655403	0.0784865474344235	-0.01749022460213052	0.046410872258826494	O2
extension39_four_types	V25	B05	0.026218902762610522	0.022103305323680385	-0.004115597438930142	0.1262818111654793	0.11294394191383994	-0.01333786925163935	0.048062438226085316	O2
extension39_four_types	V26	B06	0.01687923926442731	0.011572058528369872	-0.005307180736057441	0.10062328841385719	0.08584140848856951	-0.014781879925287667	0.05915610585190137	O1
extension39_four_types	V27	B06	0.01367642662191915	0.008205943728862896	-0.005470482893056254	0.08958937747491552	0.0710776713327638	-0.018511706142151724	0.05931642765314759	O1
extension39_four_types	V28	B06	0.019773753905346175	0.011272881013472357	-0.008500872891873817	0.10419105956880911	0.07868307398817811	-0.025507985580631005	0.05597751007180263	O1
extension39_four_types	V29	B06	0.014406756779258307	0.008917613337742901	-0.005489143441515406	0.09074028870782767	0.07410928424476543	-0.016631004463062257	0.05117952883659076	O2
extension39_four_types	V30	B06	0.028483948223149987	0.03419018935315002	0.005706241130000038	0.11598430118179906	0.12263708353372121	0.006652782351922154	0.05143629710728308	O2
extension39_four_types	V31	B07	0.016182072036555785	0.014219988956246852	-0.0019620830803089313	0.09607867427977705	0.09262523918241225	-0.003453435097364798	0.05167134160611189	O1
extension39_four_types	V32	B07	0.023009217083618312	0.015182371555153513	-0.007826845528464799	0.11818108244361403	0.0953126659207085	-0.022868416522905527	0.06866046702079905	O1
extension39_four_types	V33	B07	0.017323380375627945	0.011723013153410462	-0.0056003672222174825	0.10187355128475478	0.08576509891560927	-0.016108452369145498	0.06417385638907483	O1
extension39_four_types	V34	B07	0.01722836806073114	0.012703286758995132	-0.004525081301736011	0.10747329414879099	0.09101055757666147	-0.016462736572129506	0.051243770266524255	O2
extension39_four_types	V35	B07	0.01529694879152781	0.015156252694627332	-0.00014069609690047836	0.09516948421639129	0.09422558750200721	-0.0009438967143840724	0.053071103094813374	O2
extension39_four_types	V36	B08	0.013326873013409849	0.009450598900682835	-0.003876274112727016	0.09353637960409956	0.08039279830207546	-0.013143581302024102	0.053108046454133945	O1
extension39_four_types	V37	B08	0.03360310333879485	0.017139429487342633	-0.01646367385145222	0.14093193097803222	0.1069780339049033	-0.0339538970731289	0.0627847149173531	O1
extension39_four_types	V38	B08	0.01764219992318328	0.01316426467633642	-0.004477935246846865	0.10288421593383251	0.08448135095762946	-0.01840286497620307	0.04829386964665909	O1
extension39_four_types	V39	B08	0.012610862206709508	0.011201130520937724	-0.0014097316857717857	0.08935038597098136	0.08259625329151207	-0.006754132679469286	0.04973193570135869	O2
extension34_five_types	V01	B01	0.01952133811480267	0.017528012081211863	-0.001993326033590802	0.10970796822136966	0.10306157619020932	-0.006646392031160358	0.05289083010963781	O1
extension34_five_types	V02	B01	0.02378325564863204	0.019876712602029986	-0.003906543046602054	0.11595621924809467	0.1027398505257211	-0.013216368722373579	0.0540205903927695	O1
extension34_five_types	V03	B01	0.01171157855382911	0.009875225550811993	-0.0018363530030171167	0.08816046358622465	0.08040167107768391	-0.0077587925085407464	0.055765140586439624	O2
extension34_five_types	V04	B01	0.01497351213956026	0.01276847933449984	-0.002205032805060416	0.0988010689827181	0.09113950884149728	-0.007661560141220819	0.06018063430703109	O2
extension34_five_types	V05	B01	0.017296729472618143	0.015401364950919075	-0.0018953645216990681	0.10058544551352096	0.09421240283235029	-0.0063730426811706795	0.06311213846049357	O2
extension34_five_types	V06	B02	0.019120204575526843	0.01553664089864168	-0.003583563676885164	0.10913718700125818	0.09767184748468413	-0.011465339516574066	0.042162335834130385	O1
extension34_five_types	V07	B02	0.016395630668436557	0.014579809654295778	-0.0018158210141407817	0.09975563399195832	0.09579463171847272	-0.003961002273485606	0.04885748440326058	O1
extension34_five_types	V09	B02	0.02323501785862527	0.020645723387899707	-0.002589294470725564	0.11904439810365046	0.10965609614383809	-0.009388301959812367	0.049125368435454494	O2
extension34_five_types	V10	B02	0.013648192724129834	0.006755029476507366	-0.006893163247622469	0.09000706660078364	0.0654267522543778	-0.02458031434640584	0.0681192371193899	O2
extension34_five_types	V11	B03	0.012683411529043126	0.01110623690882146	-0.001577174620221667	0.08775499027817239	0.08425965155970665	-0.003495338718465754	0.05238246148013139	O1
extension34_five_types	V13	B03	0.023144706481248258	0.018630530525655265	-0.004514175955592991	0.12102925529974776	0.10854297436440866	-0.012486280935339109	0.05769476358901051	O2
extension34_five_types	V14	B03	0.014152008087216042	0.009165655824360464	-0.004986352262855579	0.09082463944690436	0.075240488147725	-0.015584151299179375	0.05200352257635939	O2
extension34_five_types	V15	B03	0.0131252505744511	0.009837265465508279	-0.0032879851089428216	0.08927288037591206	0.07531754455055693	-0.013955335825355113	0.05166722689280438	O2
extension34_five_types	V16	B04	0.03028487781891547	0.022588421974672653	-0.007696455844242819	0.14213596145902171	0.1213363009665726	-0.02079966049244914	0.05481461981011859	O1
extension34_five_types	V17	B04	0.02146451979119568	0.01629385953944381	-0.00517066025175187	0.11557090387649341	0.10287301131516657	-0.012697892561326824	0.05054158327532403	O1
extension34_five_types	V18	B04	0.02097316346597783	0.015723808394293066	-0.005249355071684764	0.11027607437957436	0.09781609535922	-0.012459979020354353	0.050719824485154406	O2
extension34_five_types	V19	B04	0.014855988126953715	0.012510141071969499	-0.0023458470549842145	0.09462402938752419	0.08937857992239004	-0.005245449465134169	0.046735030979895203	O2
extension34_five_types	V22	B05	0.010817653495561083	0.007859523831316863	-0.00295812966424422	0.08096332156635153	0.07051931472638602	-0.010444006839965502	0.04901141035089227	O1
extension34_five_types	V23	B05	0.014438579167123794	0.013215659401350454	-0.0012229197657733395	0.09748667985051837	0.09318135435420555	-0.0043053254963128255	0.052485725435452844	O1
extension34_five_types	V25	B05	0.02418912454606047	0.020442385433617125	-0.0037467391124433496	0.12075603031714888	0.10768289966032989	-0.013073130656819	0.05042275498996923	O2
extension34_five_types	V26	B06	0.01913538818991773	0.014070741932619915	-0.005064646257297816	0.1078986194597451	0.09459335906004995	-0.013305260399695148	0.05694519253784398	O1
extension34_five_types	V27	B06	0.013277776271124263	0.007859167505775925	-0.005418608765348337	0.0898435875581954	0.06910683004029551	-0.020736757517899877	0.058350066617968155	O1
