alpha	fold	condition	standardized_mse
0.10000000000000001	3	CEBPE+RUNX1T1	0.0047846901249653925
0.10000000000000001	3	CNN1+UBASH3B	0.023272987183778543
0.10000000000000001	3	ELMSAN1+MAP2K3	0.0082249599357639702
0.10000000000000001	3	FOXA1+KLF1	0.015175101974218225
0.10000000000000001	3	IKZF3+MAP2K3	0.011503531418722979
0.10000000000000001	3	KLF1+MAP2K6	0.011557067766812944
0.10000000000000001	3	KLF1+SET	0.01741260470604954
0.10000000000000001	3	PTPN12+ZBTB25	0.011500579276317754
0.10000000000000001	3	S1PR2+SGK1	0.019455227202082283
0.10000000000000001	4	BPGM+SAMD1	0.013361259043920668
0.10000000000000001	4	CEBPA+CEBPE	0.057327634402483597
0.10000000000000001	4	CEBPB+LYL1	0.033948776658296591
0.10000000000000001	4	CEBPE+ZC3HAV1	0.019283201370062484
0.10000000000000001	4	CNN1+MAPK1	0.013816294931704488
0.10000000000000001	4	ELMSAN1+MAP2K6	0.0057687690260230335
0.10000000000000001	4	FOXA1+FOXF1	0.0095705841249002048
0.10000000000000001	4	FOXA3+FOXF1	0.014645643939189842
0.10000000000000001	4	MAP2K3+SLC38A2	0.0072381164668128585
0.10000000000000001	4	MAPK1+PRTG	0.0074612321658566799
0.10000000000000001	4	RHOXF2B+SET	0.024018848577577499
1	0	AHR+KLF1	0.020288201411829701
1	0	CEBPA+KLF1	0.048238763432194569
1	0	DUSP9+ETS2	0.011583866262978538
1	0	DUSP9+IGDCC3	0.020790299819200768
1	0	ELMSAN1+LHX1	0.020200470079956619
1	0	FEV+MAP7D1	0.018933696704907719
1	0	IGDCC3+MAPK1	0.009030104847368884
1	0	IKZF3+MAP2K6	0.014939386812129406
1	0	MAP2K6+SPI1	0.012084029632107978
1	0	PTPN12+PTPN9	0.015739623467637492
1	0	PTPN12+UBASH3B	0.0095457255635094627
1	1	C19orf26+TGFBR2	0.025265238391285777
1	1	CEBPE+FOSB	0.071746212356806296
1	1	CEBPE+KLF1	0.019332734922138103
1	1	ETS2+MAPK1	0.036938819997561129
1	1	ETS2+PRTG	0.0091815014364680248
1	1	FEV+ISL2	0.040328630254473821
