alpha	fold	condition	condition_order	standardized_mse
0	1	PRTG	1	0.0021305216148138984
0	1	PTPN1	1	0
0	1	PTPN12	1	0.0036879276087570198
0	1	PTPN12+PTPN9	2	0.001945020489669634
0	1	PTPN12+UBASH3B	2	0.001927341399266706
0	1	PTPN12+ZBTB25	2	0.0018759889782227457
0	1	PTPN13	1	0
0	1	PTPN9	1	0.0019450204896696336
0	1	RHOXF2B	1	0.0050919250064122654
0	1	RHOXF2B+SET	2	0.0050919250064122654
0	1	RREB1	1	0
0	1	RUNX1T1	1	0.0008819561000846278
0	1	S1PR2	1	0.0024637617139295315
0	1	S1PR2+SGK1	2	0.0024637617139295315
0	1	SAMD1	1	0.0020655689262523719
0	1	SET	1	0.010367368964774889
0	1	SGK1	1	0.0024637617139295319
0	1	SLC38A2	1	0.0015295326625046285
0	1	SLC4A1	1	0
0	1	SLC6A9	1	0
0	1	SNAI1	1	0
0	1	SPI1	1	0.011033720296249782
0	1	STIL	1	0
0	1	TBX2	1	0
0	1	TBX3	1	0
0	1	TGFBR2	1	0.0016380994931940863
0	1	TMSB4X	1	0
0	1	TP73	1	0
0	1	TSC22D1	1	0
0	1	UBASH3A	1	0
0	1	UBASH3B	1	0.0039728961441324725
0	1	ZBTB1	1	0
0	1	ZBTB10	1	0
0	1	ZBTB25	1	0.001875988978222746
0	1	ZC3HAV1	1	0.0027944891940951157
0	1	ZNF318	1	0
0	1	ctrl	0	0
0	2	AHR	1	0.004611071633042493
0	2	AHR+FEV	2	0.0068620957157600644
0	2	AHR+KLF1	2	0.0084189671784412681
0	2	ARID1A	1	0
0	2	ARRDC3	1	0
0	2	ATL1	1	0
0	2	BAK1	1	0.0010742280941544752
0	2	BAK1+BCL2L11	2	0.0010742280941544752
0	2	BCL2L11	1	0.001074228094154475
0	2	BCORL1	1	0
0	2	BPGM	1	0.0020655689262523706
0	2	BPGM+SAMD1	2	0.0020655689262523711
0	2	C19orf26	1	0.0026021259709322051
0	2	C19orf26+TGFBR2	2	0.0026021259709322047
0	2	C3orf72	1	0
0	2	CBFA2T3	1	0
0	2	CBL	1	0
0	2	CDKN1A	1	0
0	2	CDKN1B	1	0
0	2	CDKN1C	1	0
0	2	CEBPA	1	0.014300523343683454
0	2	CEBPA+CEBPE	2	0.02246884549702249
0	2	CEBPA+KLF1	2	0.0092950675923167796
0	2	CEBPB	1	0.0047634342891341762
0	2	CEBPB+LYL1	2	0.0047634342891341771
0	2	CEBPE	1	0.03682618659945347
0	2	CEBPE+FOSB	2	0.010598322948344204
0	2	CEBPE+KLF1	2	0.0091181683706406703
0	2	CEBPE+RUNX1T1	2	0.0012340300946569165
0	2	CEBPE+ZC3HAV1	2	0.0036836337399588476
0	2	CELF2	1	0
0	2	CITED1	1	0
0	2	CKS1B	1	0
0	2	CLDN6	1	0
0	2	CNN1	1	0.0030736528841376265
0	2	CNN1+MAPK1	2	0.0050937272681889001
0	2	CNN1+UBASH3B	2	0.0070711739111828497
0	2	CNNM4	1	0
0	2	COL1A1	1	0
0	2	COL2A1	1	0
0	2	CSRNP1	1	0
0	2	DLX2	1	0
0	2	DUSP9	1	0.0031472356709606945
0	2	DUSP9+ETS2	2	0.0068524923662660877
0	2	DUSP9+IGDCC3	2	0.0051716492125013364
0	2	EGR1	1	0
0	2	ELMSAN1	1	0.0022590007041382765
0	2	ELMSAN1+LHX1	2	0.0021587775101869133
0	2	ELMSAN1+MAP2K3	2	0.0023955858753231434
0	2	ELMSAN1+MAP2K6	2	0.001978067250065072
0	2	ETS2	1	0.0034831269175718141
0	2	ETS2+MAPK1	2	0.010215375412932588
0	2	ETS2+PRTG	2	0.001631741789264492
0	2	FEV	1	0.010528738175783939
0	2	FEV+ISL2	2	0.0037776816462003486
0	2	FEV+MAP7D1	2	0.0027325688223189602
0	2	FOSB	1	0.010598322948344199
0	2	FOXA1	1	0.0044971276482449847
0	2	FOXA1+FOXF1	2	0.00246370643672272
0	2	FOXA1+KLF1	2	0.0054121728135148213
0	2	FOXA3	1	0.002706020688448062
0	2	FOXA3+FOXF1	2	0.0027060206884480624
0	2	FOXF1	1	0.0045424672297816734
0	2	FOXF1+FOXL2	2	0.0053727208288832538
0	2	FOXL2	1	0.0047015333763506658
0	2	FOXL2+MEIS1	2	0.0020959012117096618
0	2	FOXO4	1	0
0	2	GLB1L2	1	0
0	2	HES7	1	0
0	2	HK2	1	0
0	2	HNF4A	1	0
0	2	HOXA13	1	0
0	2	HOXB9	1	0
0	2	HOXC13	1	0
0	2	IER5L	1	0
0	2	IGDCC3	1	0.0040949489654697078
0	2	IGDCC3+MAPK1	2	0.0079893956156892893
0	2	IKZF3	1	0.0046026508016912418
0	2	IKZF3+MAP2K3	2	0.0033878220923748382
0	2	IKZF3+MAP2K6	2	0.0024733278826305459
0	2	IRF1	1	0
0	2	ISL2	1	0.0037776816462003486
0	2	JUN	1	0
0	2	KIAA1804	1	0
0	2	KIF18B	1	0
0	2	KIF2C	1	0
0	2	KLF1	1	0.0031999960343961115
0	2	KLF1+MAP2K6	2	0.0079982890571898852
0	2	KLF1+SET	2	0.0058265486860161406
0	2	KMT2A	1	0
0	2	LHX1	1	0.0021587775101869129
0	2	LYL1	1	0.0047634342891341762
0	2	MAML2	1	0
0	2	MAP2K3	1	0.0034248002001743771
0	2	MAP2K3+MAP2K6	2	0.004557819413549118
0	2	MAP2K3+SLC38A2	2	0.0014747836854452276
0	2	MAP2K6	1	0.0029824851523783595
0	2	MAP2K6+SPI1	2	0.013053591538796422
0	2	MAP4K3	1	0
0	2	MAP4K5	1	0
0	2	MAP7D1	1	0.0027325688223189611
0	2	MAPK1	1	0.0058466303592712415
0	2	MAPK1+PRTG	2	0.0038427564883193278
0	2	MEIS1	1	0.0020959012117096618
0	2	MIDN	1	0
0	2	NCL	1	0
0	2	NIT1	1	0
0	2	OSR2	1	0
0	2	PLK4	1	0
0	2	POU3F2	1	0
0	2	PRDM1	1	0
0	2	PRTG	1	0.0064993139279701682
0	2	PTPN1	1	0
0	2	PTPN12	1	0.0038136313284099794
0	2	PTPN12+PTPN9	2	0.002110385383574301
0	2	PTPN12+UBASH3B	2	0.0021833202544496314
0	2	PTPN12+ZBTB25	2	0.0019948898454191766
0	2	PTPN13	1	0
0	2	PTPN9	1	0.0028838645718357297
0	2	PTPN9+UBASH3B	2	0.0019683145258241348
0	2	RHOXF2B	1	0.0064012311013981003
0	2	RHOXF2B+SET	2	0.0064012311013981003
0	2	RREB1	1	0
0	2	RUNX1T1	1	0.0012340300946569167
0	2	S1PR2	1	0.0024637617139295315
0	2	S1PR2+SGK1	2	0.0024637617139295315
0	2	SAMD1	1	0.0020655689262523719
0	2	SET	1	0.0059527824983314553
0	2	SGK1	1	0.0024637617139295319
0	2	SLC38A2	1	0.0014747836854452276
0	2	SLC4A1	1	0
0	2	SLC6A9	1	0
0	2	SNAI1	1	0.0030301838829790268
0	2	SNAI1+UBASH3B	2	0.0030301838829790268
0	2	SPI1	1	0.013053591538796426
0	2	STIL	1	0
0	2	TBX2	1	0
0	2	TBX3	1	0
0	2	TGFBR2	1	0.0026021259709322043
0	2	TMSB4X	1	0
0	2	TP73	1	0
0	2	TSC22D1	1	0
0	2	UBASH3A	1	0
0	2	UBASH3B	1	0.0039020792512728881
0	2	ZBTB1	1	0
0	2	ZBTB10	1	0
0	2	ZBTB25	1	0.0019948898454191766
0	2	ZC3HAV1	1	0.0036836337399588502
0	2	ZNF318	1	0
0	2	ctrl	0	0
