dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	RBF	-0.32659852886856766	-0.32659852886856766	-9.436895709313831e-19	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	scGen	-0.5587597506471588	-0.5363593935879626	0.02240035705919621	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	CPA	-0.7596398485461829	-0.7456723571309356	0.013967491415248256	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	CellOT	-0.5680797633524552	-0.5455612633375382	0.0225185000149172	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	NC	-0.41551700859099705	-0.41551700859099705	0.0	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	CM	-0.3264618447234512	-0.3264618447234512	0.0	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	TW	-0.32648873301909165	-0.32648873301909165	0.0	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	PCA	-0.32622770100280335	-0.32622770100280335	0.0	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	RBF	-0.32659852886856766	-0.32659852886856766	0.0	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	scGen	-0.5587597506471588	-0.5811601077145433	-0.02240035706738396	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	CPA	-0.7596398485461829	-0.7736073399682819	-0.013967491422099243	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_P	CellOT	-0.5680797633524552	-0.5905982633676546	-0.022518500015198516	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	NC	-0.41551700859099705	-0.41551700859099705	1.6653345369377347e-17	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	CM	-0.3264618447234512	-0.3264618447234512	-7.216449660063517e-19	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	TW	-0.32648873301909165	-0.32648873301909165	-8.326672684688674e-19	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	PCA	-0.32622770100280335	-0.32622770100280335	-3.7747582837255325e-18	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	RBF	-0.32659852886856766	-0.32659852886856766	-6.106226635438361e-19	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	scGen	-0.12021817370066439	-0.1202181736960888	4.575627543523808e-12	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	CPA	-0.3210982716650153	-0.32109827165628685	8.728621825326855e-12	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	S_to_M	CellOT	-0.1295381863960455	-0.12953818639529405	7.514968647370778e-13	False	False
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	NC	-0.3955474671934167	-0.3955474671934167	-3.1641356201816963e-18	True	True
gse162632	cap48	primary	17	4	root_03	1000	1	D_to_O	CM	-0.3313393216722226	-0.3313393216722226	-2.7755575615628914e-19	True	True
