resource	budget	minimum_gap	rule	comparisons	selected	coverage	unsupported	risk	strict_reversals	strict_reversal_risk	no_direction	units	units_with_selections	unit_macro_coverage	unit_macro_risk
norman	d128	0.005	single_split	420	346	0.8238095238095238	25	0.07225433526011561	0	0.0	0	1	1	0.8238095238095238	0.07225433526011561
norman	d128	0.005	repeated_primary	420	282	0.6714285714285714	0	0.0	0	0.0	0	1	1	0.6714285714285714	0.0
norman	d128	0.005	development_margin	420	254	0.6047619047619047	0	0.0	0	0.0	0	1	1	0.6047619047619047	0.0
norman	d128	0.01	single_split	420	302	0.719047619047619	19	0.06291390728476821	0	0.0	0	1	1	0.719047619047619	0.06291390728476821
norman	d128	0.01	repeated_primary	420	261	0.6214285714285714	0	0.0	0	0.0	0	1	1	0.6214285714285714	0.0
norman	d128	0.01	development_margin	420	254	0.6047619047619047	0	0.0	0	0.0	0	1	1	0.6047619047619047	0.0
norman	d128	0.02	single_split	420	241	0.5738095238095238	12	0.04979253112033195	0	0.0	0	1	1	0.5738095238095238	0.04979253112033195
norman	d128	0.02	repeated_primary	420	207	0.4928571428571429	0	0.0	0	0.0	0	1	1	0.4928571428571429	0.0
norman	d128	0.02	development_margin	420	205	0.4880952380952381	1	0.004878048780487805	0	0.0	0	1	1	0.4880952380952381	0.004878048780487805
norman	d135	0.0	single_split	420	420	1.0	29	0.06904761904761905	29	0.06904761904761905	0	1	1	1.0	0.06904761904761905
norman	d135	0.0	repeated_primary	420	307	0.7309523809523809	0	0.0	0	0.0	0	1	1	0.7309523809523809	0.0
norman	d135	0.0	development_margin	420	313	0.7452380952380953	0	0.0	0	0.0	0	1	1	0.7452380952380953	0.0
norman	d135	0.005	single_split	420	345	0.8214285714285714	23	0.06666666666666667	0	0.0	0	1	1	0.8214285714285714	0.06666666666666667
norman	d135	0.005	repeated_primary	420	280	0.6666666666666666	0	0.0	0	0.0	0	1	1	0.6666666666666666	0.0
norman	d135	0.005	development_margin	420	247	0.5880952380952381	0	0.0	0	0.0	0	1	1	0.5880952380952381	0.0
norman	d135	0.01	single_split	420	303	0.7214285714285714	20	0.066006600660066	0	0.0	0	1	1	0.7214285714285714	0.066006600660066
norman	d135	0.01	repeated_primary	420	253	0.6023809523809524	0	0.0	0	0.0	0	1	1	0.6023809523809524	0.0
norman	d135	0.01	development_margin	420	247	0.5880952380952381	0	0.0	0	0.0	0	1	1	0.5880952380952381	0.0
norman	d135	0.02	single_split	420	242	0.5761904761904761	12	0.049586776859504134	0	0.0	0	1	1	0.5761904761904761	0.049586776859504134
norman	d135	0.02	repeated_primary	420	202	0.48095238095238096	0	0.0	0	0.0	0	1	1	0.48095238095238096	0.0
norman	d135	0.02	development_margin	420	204	0.4857142857142857	1	0.004901960784313725	0	0.0	0	1	1	0.4857142857142857	0.004901960784313725
original8	d8	0.0	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.0	repeated_primary	78	74	0.9487179487179487	0	0.0	0	0.0	0	39	39	0.9487179487179487	0.0
original8	d8	0.0	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.005	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.005	repeated_primary	78	73	0.9358974358974359	0	0.0	0	0.0	0	39	39	0.9358974358974359	0.0
original8	d8	0.005	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.01	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.01	repeated_primary	78	73	0.9358974358974359	0	0.0	0	0.0	0	39	39	0.9358974358974359	0.0
original8	d8	0.01	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.02	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
original8	d8	0.02	repeated_primary	78	64	0.8205128205128205	0	0.0	0	0.0	0	39	36	0.8205128205128205	0.0
original8	d8	0.02	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.0	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.0	repeated_primary	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.0	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.005	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.005	repeated_primary	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.005	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.01	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.01	repeated_primary	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.01	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.02	single_split	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.02	repeated_primary	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
cap48	d8	0.02	development_margin	78	78	1.0	0	0.0	0	0.0	0	39	39	1.0	0.0
