dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	scGen	-0.5638773108286521	-0.5505604904927079	0.013316820335943379	False	False
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	CPA	-0.7999971441312548	-0.7918251787376562	0.008171965393599769	False	False
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	CellOT	-0.5720797566029375	-0.5554938430003161	0.0165859136026211	False	False
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	NC	-0.3955474671934167	-0.3955474671934167	0.0	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	CM	-0.3364744803943095	-0.3364744803943095	0.0	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	TW	-0.33478305149403653	-0.33478305149403653	0.0	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	PCA	-0.33537164690051774	-0.33537164690051774	0.0	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	RBF	-0.3351542680408259	-0.3351542680408259	0.0	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	scGen	-0.5638773108286521	-0.5771941311563736	-0.013316820327722082	False	False
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	CPA	-0.7999971441312548	-0.8081691095306769	-0.008171965399420137	False	False
gse162632	original8	primary	17	4	root_03	1000	1	D_to_P	CellOT	-0.5720797566029375	-0.5886656702065809	-0.016585913603643282	False	False
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	NC	-0.3955474671934167	-0.3955474671934167	1.482147737874584e-17	True	True
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	CM	-0.33647448039430955	-0.3364744803943095	-8.326672684688674e-19	True	True
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	TW	-0.3347830514940365	-0.33478305149403653	-1.7208456881689926e-18	True	True
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	PCA	-0.33537164690051774	-0.33537164690051774	-6.106226635438361e-19	True	True
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	RBF	-0.3351542680408259	-0.3351542680408259	-1.1102230246251566e-19	True	True
gse162632	original8	primary	17	4	root_03	1000	1	S_to_M	scGen	-0.12607727717360667	-0.12607727716876443	4.84222791030664e-12	False	False
