depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	allocation_min_margin	allocation_max_margin	crossing_allocation_count	n_allocations	strict_crossing_after_task_and_allocation_means
64	additive	compositional_ridge	primary_state_pair	S	-0.00079123606492530001	-0.00079123606492530001	0	-0.00079123606492530001	-0.00079123606492530001	0	30	False
64	additive	compositional_ridge	primary_state_pair	M	-0.00079123606492530001	-0.00079123606492530001	0	-0.00079123606492530001	-0.00079123606492530001	0	30	False
64	additive	compositional_ridge	primary_state_pair	P	-0.00079123606492530001	-0.00079123606492530001	5.2041704279304213e-18	-0.00079123606492530001	-0.00079123606492530001	0	30	False
64	additive	compositional_ridge	primary_state_pair	O	-0.00079123606492530001	-0.00079123606492530001	5.2041704279304213e-18	-0.00079123606492530001	-0.00079123606492530001	0	30	False
64	additive	compositional_ridge	primary_state_pair	D	-0.00079123606492530001	-0.00079123606492530001	5.2041704279304213e-18	-0.00079123606492530001	-0.00079123606492530001	0	30	False
64	additive	CPA_0.8.8	primary_state_pair	S	0.047666103683060602	0.047666103683060602	0	0.046185439859304699	0.050828631592412403	0	30	False
64	additive	CPA_0.8.8	primary_state_pair	M	0.047666103683060602	0.047666103683060602	-4.6259292692714865e-19	0.046185439859304699	0.050828631592412403	0	30	False
64	additive	CPA_0.8.8	primary_state_pair	P	0.047666103683060602	0.048056642371357601	0.00039053868829700002	0.046531584958746201	0.051169180181858599	0	30	False
64	additive	CPA_0.8.8	primary_state_pair	O	0.047666103683060602	0.047275564994763597	-0.00039053868829700002	0.045839294759863099	0.0504880830029662	0	30	False
64	additive	CPA_0.8.8	primary_state_pair	D	0.047666103683060602	0.047666103683060602	2.5442610980993173e-18	0.046185439859304699	0.050828631592412403	0	30	False
64	additive	zero_effect	zero_effect_diagnostic	S	0.077970502844539005	0.077970502844539005	0	0.076326180114698106	0.081707923412529498	0	30	False
64	additive	zero_effect	zero_effect_diagnostic	M	0.077970502844539005	0.077970502844538894	-2.7755575615628919e-18	0.076326180114698106	0.081707923412529498	0	30	False
64	additive	zero_effect	zero_effect_diagnostic	P	0.077970502844539005	0.074131507260136204	-0.0038389955844026998	0.072266868055058095	0.078065548206039198	0	30	False
64	additive	zero_effect	zero_effect_diagnostic	O	0.077970502844539005	0.074131507260136204	-0.0038389955844026998	0.072266868055058095	0.078065548206039198	0	30	False
64	additive	zero_effect	zero_effect_diagnostic	D	0.077970502844539005	0.074131507260136204	-0.0038389955844026998	0.072266868055058095	0.078065548206039198	0	30	False
64	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.048457339747985897	0.048457339747985897	0	0.046976675924230001	0.051619867657337698	0	30	False
64	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.048457339747985897	0.048457339747985897	-4.6259292692714865e-19	0.046976675924230001	0.051619867657337698	0	30	False
64	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.048457339747985897	0.048847878436282903	0.00039053868829700002	0.047322821023671503	0.051960416246783901	0	30	False
64	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.048457339747985897	0.048066801059688899	-0.00039053868829700002	0.046630530824788498	0.051279319067891502	0	30	False
64	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.048457339747985897	0.048457339747985897	-3.23815048849004e-18	0.046976675924230001	0.051619867657337698	0	30	False
64	compositional_ridge	zero_effect	zero_effect_diagnostic	S	0.078761738909464293	0.078761738909464293	0	0.077117416179623505	0.0824991594774548	0	30	False
64	compositional_ridge	zero_effect	zero_effect_diagnostic	M	0.078761738909464293	0.078761738909464293	-1.8503717077085946e-18	0.077117416179623394	0.0824991594774548	0	30	False
64	compositional_ridge	zero_effect	zero_effect_diagnostic	P	0.078761738909464293	0.074922743325061603	-0.0038389955844026998	0.073058104119983494	0.078856784270964597	0	30	False
