depth_per_gemgroup	cells_per_reference	model	pattern	mean	allocation_min	allocation_max
32	256	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
32	256	additive	P	0.033929177699186498	0.033307327460837761	0.034595175660254489
32	256	additive	O	0.033929177699186498	0.033307327460837761	0.034595175660254489
32	256	additive	D	0.033929177699186498	0.033307327460837761	0.034595175660254489
32	256	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
32	256	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
32	256	compositional_ridge	P	0.033137941634261182	0.032516091395912446	0.033803939595329152
32	256	compositional_ridge	O	0.033137941634261182	0.032516091395912446	0.033803939595329152
32	256	compositional_ridge	D	0.033137941634261182	0.032516091395912446	0.033803939595329152
32	256	CPA_0.8.8	S	0.074151743514396851	0.070611368708903749	0.077323588542050445
32	256	CPA_0.8.8	M	0.074151743514396851	0.070611368708903749	0.077323588542050431
32	256	CPA_0.8.8	P	0.082712488281354218	0.08043877946305783	0.085652954972975454
32	256	CPA_0.8.8	O	0.081059019873408591	0.07752091339010786	0.084015494207967695
32	256	CPA_0.8.8	D	0.081885754077381398	0.078979846426582817	0.084744310973486281
32	256	zero_effect	S	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	M	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	P	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	O	0.10632175391652536	0.10208774926458339	0.11024015001015931
32	256	zero_effect	D	0.10632175391652536	0.10208774926458339	0.11024015001015931
64	512	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
64	512	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
64	512	additive	P	0.030034162720604669	0.029763166968892311	0.030359837072232224
64	512	additive	O	0.030034162720604669	0.029763166968892311	0.030359837072232224
64	512	additive	D	0.030034162720604669	0.029763166968892311	0.030359837072232224
64	512	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
64	512	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
64	512	compositional_ridge	P	0.029242926655679354	0.028971930903966995	0.029568601007306898
64	512	compositional_ridge	O	0.029242926655679354	0.028971930903966995	0.029568601007306898
64	512	compositional_ridge	D	0.029242926655679354	0.028971930903966995	0.029568601007306898
64	512	CPA_0.8.8	S	0.073861270819262609	0.072380606995506677	0.077023798728614395
64	512	CPA_0.8.8	M	0.073861270819262609	0.072380606995506677	0.077023798728614395
64	512	CPA_0.8.8	P	0.07809080509196234	0.076556097788583896	0.081006722524550864
64	512	CPA_0.8.8	O	0.077309727715368315	0.075910905200966425	0.08032562534565843
64	512	CPA_0.8.8	D	0.077700266403665327	0.076257050300407941	0.08066617393510464
64	512	zero_effect	S	0.10416566998074096	0.10252134725090015	0.10790309054873151
64	512	zero_effect	M	0.10416566998074095	0.10252134725090012	0.10790309054873151
64	512	zero_effect	P	0.10416566998074095	0.10252134725090012	0.10790309054873151
64	512	zero_effect	O	0.10416566998074095	0.10252134725090012	0.10790309054873151
64	512	zero_effect	D	0.10416566998074095	0.10252134725090012	0.10790309054873151
128	1024	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
128	1024	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
128	1024	additive	P	0.028112564795395263	0.027981185867986303	0.028354995313651744
128	1024	additive	O	0.028112564795395263	0.027981185867986303	0.028354995313651744
128	1024	additive	D	0.028112564795395263	0.027981185867986303	0.028354995313651744
128	1024	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
128	1024	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
128	1024	compositional_ridge	P	0.027321328730469947	0.027189949803060998	0.027563759248726415
128	1024	compositional_ridge	O	0.027321328730469947	0.027189949803060998	0.027563759248726415
128	1024	compositional_ridge	D	0.027321328730469947	0.027189949803060998	0.027563759248726415
128	1024	CPA_0.8.8	S	0.073909794889261943	0.073002659113796553	0.074722149294206994
128	1024	CPA_0.8.8	M	0.073909794889261943	0.073002659113796553	0.074722149294206994
128	1024	CPA_0.8.8	P	0.076021777324230932	0.075148604935176944	0.076931945205432256
128	1024	CPA_0.8.8	O	0.075632607772679591	0.074711872591786785	0.076380189236043977
128	1024	CPA_0.8.8	D	0.075827192548455255	0.074930238763481857	0.076656067220738131
128	1024	zero_effect	S	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	M	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	P	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	O	0.10337293805400867	0.10226445598301483	0.10432719372603638
128	1024	zero_effect	D	0.10337293805400867	0.10226445598301483	0.10432719372603638
135	1080	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
135	1080	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
135	1080	additive	P	0.0280166618584415	0.027889682034660402	0.02822705038539438
135	1080	additive	O	0.0280166618584415	0.027889682034660402	0.02822705038539438
