allocation	depth_per_gemgroup	cells_per_reference	pattern	reversed_task_pairs	eligible_task_pairs
9	64	512	D	0	165
10	64	512	D	0	165
11	64	512	D	0	165
12	64	512	D	0	165
13	64	512	D	0	165
14	64	512	D	0	165
15	64	512	D	0	165
16	64	512	D	0	165
17	64	512	D	0	165
18	64	512	D	0	165
19	64	512	D	0	165
20	64	512	D	0	165
21	64	512	D	0	165
22	64	512	D	0	165
23	64	512	D	0	165
24	64	512	D	0	165
25	64	512	D	0	165
26	64	512	D	0	165
27	64	512	D	0	165
28	64	512	D	0	165
29	64	512	D	0	165
0	128	1024	S	0	165
1	128	1024	S	0	165
2	128	1024	S	0	165
3	128	1024	S	0	165
4	128	1024	S	0	165
5	128	1024	S	0	165
6	128	1024	S	0	165
7	128	1024	S	0	165
8	128	1024	S	0	165
9	128	1024	S	0	165
10	128	1024	S	0	165
11	128	1024	S	0	165
12	128	1024	S	0	165
13	128	1024	S	0	165
14	128	1024	S	0	165
15	128	1024	S	0	165
16	128	1024	S	0	165
17	128	1024	S	0	165
18	128	1024	S	0	165
19	128	1024	S	0	165
20	128	1024	S	0	165
21	128	1024	S	0	165
22	128	1024	S	0	165
23	128	1024	S	0	165
24	128	1024	S	0	165
25	128	1024	S	0	165
26	128	1024	S	0	165
27	128	1024	S	0	165
28	128	1024	S	0	165
29	128	1024	S	0	165
0	128	1024	M	0	165
1	128	1024	M	0	165
2	128	1024	M	0	165
3	128	1024	M	0	165
4	128	1024	M	0	165
5	128	1024	M	0	165
6	128	1024	M	0	165
7	128	1024	M	0	165
8	128	1024	M	0	165
9	128	1024	M	0	165
10	128	1024	M	0	165
11	128	1024	M	0	165
12	128	1024	M	0	165
13	128	1024	M	0	165
14	128	1024	M	0	165
15	128	1024	M	0	165
16	128	1024	M	0	165
17	128	1024	M	0	165
18	128	1024	M	0	165
19	128	1024	M	0	165
20	128	1024	M	0	165
21	128	1024	M	0	165
22	128	1024	M	0	165
23	128	1024	M	0	165
24	128	1024	M	0	165
25	128	1024	M	0	165
26	128	1024	M	0	165
27	128	1024	M	0	165
28	128	1024	M	0	165
29	128	1024	M	0	165
0	128	1024	P	0	165
1	128	1024	P	0	165
2	128	1024	P	0	165
3	128	1024	P	0	165
4	128	1024	P	0	165
5	128	1024	P	0	165
6	128	1024	P	0	165
7	128	1024	P	0	165
8	128	1024	P	0	165
9	128	1024	P	0	165
10	128	1024	P	0	165
11	128	1024	P	0	165
12	128	1024	P	0	165
13	128	1024	P	0	165
14	128	1024	P	0	165
15	128	1024	P	0	165
16	128	1024	P	0	165
17	128	1024	P	0	165
18	128	1024	P	0	165
19	128	1024	P	0	165
20	128	1024	P	0	165
21	128	1024	P	0	165
22	128	1024	P	0	165
23	128	1024	P	0	165
24	128	1024	P	0	165
25	128	1024	P	1	165
26	128	1024	P	0	165
27	128	1024	P	0	165
28	128	1024	P	0	165
29	128	1024	P	0	165
0	128	1024	O	0	165
1	128	1024	O	1	165
2	128	1024	O	1	165
3	128	1024	O	1	165
4	128	1024	O	1	165
5	128	1024	O	1	165
6	128	1024	O	1	165
7	128	1024	O	1	165
8	128	1024	O	1	165
9	128	1024	O	1	165
10	128	1024	O	1	165
11	128	1024	O	1	165
12	128	1024	O	1	165
13	128	1024	O	1	165
14	128	1024	O	1	165
15	128	1024	O	1	165
16	128	1024	O	1	165
17	128	1024	O	1	165
18	128	1024	O	1	165
19	128	1024	O	1	165
20	128	1024	O	1	165
21	128	1024	O	1	165
22	128	1024	O	1	165
23	128	1024	O	1	165
24	128	1024	O	1	165
25	128	1024	O	0	165
26	128	1024	O	1	165
27	128	1024	O	0	165
28	128	1024	O	1	165
29	128	1024	O	1	165
0	128	1024	D	0	165
1	128	1024	D	0	165
2	128	1024	D	0	165
3	128	1024	D	0	165
4	128	1024	D	0	165
5	128	1024	D	0	165
6	128	1024	D	0	165
7	128	1024	D	0	165
8	128	1024	D	0	165
9	128	1024	D	0	165
10	128	1024	D	0	165
11	128	1024	D	0	165
