allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
1	32	256	compositional_ridge	S	0.025403931071276635
1	32	256	compositional_ridge	M	0.025403931071276635
1	32	256	compositional_ridge	P	0.033803939595329152
1	32	256	compositional_ridge	O	0.033803939595329152
1	32	256	compositional_ridge	D	0.033803939595329152
1	32	256	CPA_0.8.8	S	0.070899835467351263
1	32	256	CPA_0.8.8	M	0.070899835467351263
1	32	256	CPA_0.8.8	P	0.080778532390182803
1	32	256	CPA_0.8.8	O	0.077821155592624786
1	32	256	CPA_0.8.8	D	0.079299843991403801
1	32	256	zero_effect	S	0.102160325254316
1	32	256	zero_effect	M	0.102160325254316
1	32	256	zero_effect	P	0.102160325254316
1	32	256	zero_effect	O	0.102160325254316
1	32	256	zero_effect	D	0.102160325254316
1	64	512	additive	S	0.026195167136201958
1	64	512	additive	M	0.026195167136201958
1	64	512	additive	P	0.02998798556133625
1	64	512	additive	O	0.02998798556133625
1	64	512	additive	D	0.02998798556133625
1	64	512	compositional_ridge	S	0.025403931071276635
1	64	512	compositional_ridge	M	0.025403931071276635
1	64	512	compositional_ridge	P	0.029196749496410941
1	64	512	compositional_ridge	O	0.029196749496410941
1	64	512	compositional_ridge	D	0.029196749496410941
1	64	512	CPA_0.8.8	S	0.073286214591314
1	64	512	CPA_0.8.8	M	0.073286214591314
1	64	512	CPA_0.8.8	P	0.077493864161762224
1	64	512	CPA_0.8.8	O	0.076664201871134319
1	64	512	CPA_0.8.8	D	0.077079033016448278
1	64	512	zero_effect	S	0.10363214735789429
1	64	512	zero_effect	M	0.10363214735789433
1	64	512	zero_effect	P	0.10363214735789433
1	64	512	zero_effect	O	0.10363214735789433
1	64	512	zero_effect	D	0.10363214735789433
1	128	1024	additive	S	0.026195167136201958
1	128	1024	additive	M	0.026195167136201958
1	128	1024	additive	P	0.028122203431323579
1	128	1024	additive	O	0.028122203431323579
1	128	1024	additive	D	0.028122203431323579
1	128	1024	compositional_ridge	S	0.025403931071276635
1	128	1024	compositional_ridge	M	0.025403931071276635
1	128	1024	compositional_ridge	P	0.027330967366398257
1	128	1024	compositional_ridge	O	0.027330967366398257
1	128	1024	compositional_ridge	D	0.027330967366398257
1	128	1024	CPA_0.8.8	S	0.074465246964229251
1	128	1024	CPA_0.8.8	M	0.074465246964229251
1	128	1024	CPA_0.8.8	P	0.076634424324755618
1	128	1024	CPA_0.8.8	O	0.076150142193946058
1	128	1024	CPA_0.8.8	D	0.076392283259350852
1	128	1024	zero_effect	S	0.10403765253898523
1	128	1024	zero_effect	M	0.10403765253898523
1	128	1024	zero_effect	P	0.10403765253898523
1	128	1024	zero_effect	O	0.10403765253898523
1	128	1024	zero_effect	D	0.10403765253898523
1	135	1080	additive	S	0.026195167136201958
1	135	1080	additive	M	0.026195167136201958
1	135	1080	additive	P	0.028072007201247424
1	135	1080	additive	O	0.028072007201247424
1	135	1080	additive	D	0.028072007201247424
1	135	1080	compositional_ridge	S	0.025403931071276635
1	135	1080	compositional_ridge	M	0.025403931071276635
1	135	1080	compositional_ridge	P	0.027280771136322112
1	135	1080	compositional_ridge	O	0.027280771136322112
1	135	1080	compositional_ridge	D	0.027280771136322112
1	135	1080	CPA_0.8.8	S	0.074240957580473735
1	135	1080	CPA_0.8.8	M	0.074240957580473721
1	135	1080	CPA_0.8.8	P	0.076383426873052704
1	135	1080	CPA_0.8.8	O	0.075852168417985699
1	135	1080	CPA_0.8.8	D	0.076117797645519181
1	135	1080	zero_effect	S	0.10377728402331596
1	135	1080	zero_effect	M	0.10377728402331596
1	135	1080	zero_effect	P	0.10377728402331596
1	135	1080	zero_effect	O	0.10377728402331596
1	135	1080	zero_effect	D	0.10377728402331596
2	8	64	additive	S	0.026195167136201958
2	8	64	additive	M	0.026195167136201958
2	8	64	additive	P	0.057754922407832143
2	8	64	additive	O	0.057754922407832143
2	8	64	additive	D	0.057754922407832143
2	8	64	compositional_ridge	S	0.025403931071276635
2	8	64	compositional_ridge	M	0.025403931071276635
2	8	64	compositional_ridge	P	0.05696368634290682
2	8	64	compositional_ridge	O	0.05696368634290682
2	8	64	compositional_ridge	D	0.05696368634290682
2	8	64	CPA_0.8.8	S	0.082516326583350938
2	8	64	CPA_0.8.8	M	0.082516326583350938
2	8	64	CPA_0.8.8	P	0.11781451744338443
2	8	64	CPA_0.8.8	O	0.11033764626657779
2	8	64	CPA_0.8.8	D	0.11407608185498114
2	8	64	zero_effect	S	0.12720414693120913
2	8	64	zero_effect	M	0.12720414693120916
2	8	64	zero_effect	P	0.12720414693120916
2	8	64	zero_effect	O	0.12720414693120916
2	8	64	zero_effect	D	0.12720414693120916
2	16	128	additive	S	0.026195167136201958
2	16	128	additive	M	0.026195167136201958
2	16	128	additive	P	0.041877888266364446
2	16	128	additive	O	0.041877888266364446
2	16	128	additive	D	0.041877888266364446
2	16	128	compositional_ridge	S	0.025403931071276635
2	16	128	compositional_ridge	M	0.025403931071276635
2	16	128	compositional_ridge	P	0.041086652201439103
2	16	128	compositional_ridge	O	0.041086652201439103
2	16	128	compositional_ridge	D	0.041086652201439103
2	16	128	CPA_0.8.8	S	0.076908345204212275
2	16	128	CPA_0.8.8	M	0.076908345204212275
2	16	128	CPA_0.8.8	P	0.09423113721808761
2	16	128	CPA_0.8.8	O	0.090950995450661945
2	16	128	CPA_0.8.8	D	0.092591066334374791
2	16	128	zero_effect	S	0.11376465779589257
2	16	128	zero_effect	M	0.11376465779589255
2	16	128	zero_effect	P	0.11376465779589255
2	16	128	zero_effect	O	0.11376465779589255
2	16	128	zero_effect	D	0.11376465779589255
2	32	256	additive	S	0.026195167136201958
2	32	256	additive	M	0.026195167136201958
2	32	256	additive	P	0.034078484986412222
2	32	256	additive	O	0.034078484986412222
2	32	256	additive	D	0.034078484986412222
2	32	256	compositional_ridge	S	0.025403931071276635
2	32	256	compositional_ridge	M	0.025403931071276635
2	32	256	compositional_ridge	P	0.033287248921486892
2	32	256	compositional_ridge	O	0.033287248921486892
2	32	256	compositional_ridge	D	0.033287248921486892
2	32	256	CPA_0.8.8	S	0.075579385143548644
2	32	256	CPA_0.8.8	M	0.075579385143548644
2	32	256	CPA_0.8.8	P	0.084347947573245638
2	32	256	CPA_0.8.8	O	0.082577458414272234
2	32	256	CPA_0.8.8	D	0.08346270299375895
2	32	256	zero_effect	S	0.1083328130814442
2	32	256	zero_effect	M	0.10833281308144418
2	32	256	zero_effect	P	0.10833281308144418
2	32	256	zero_effect	O	0.10833281308144418
2	32	256	zero_effect	D	0.10833281308144418
2	64	512	additive	S	0.026195167136201958
2	64	512	additive	M	0.026195167136201958
2	64	512	additive	P	0.029889854759311357
2	64	512	additive	O	0.029889854759311357
2	64	512	additive	D	0.029889854759311357
2	64	512	compositional_ridge	S	0.025403931071276635
2	64	512	compositional_ridge	M	0.025403931071276635
2	64	512	compositional_ridge	P	0.029098618694386038
2	64	512	compositional_ridge	O	0.029098618694386038
2	64	512	compositional_ridge	D	0.029098618694386038
2	64	512	CPA_0.8.8	S	0.07403587428682655
2	64	512	CPA_0.8.8	M	0.07403587428682655
2	64	512	CPA_0.8.8	P	0.077982661702238415
2	64	512	CPA_0.8.8	O	0.077478462117633415
2	64	512	CPA_0.8.8	D	0.077730561909935936
2	64	512	zero_effect	S	0.10457971686425074
2	64	512	zero_effect	M	0.10457971686425074
2	64	512	zero_effect	P	0.10457971686425074
2	64	512	zero_effect	O	0.10457971686425074
2	64	512	zero_effect	D	0.10457971686425074
2	128	1024	additive	S	0.026195167136201958
2	128	1024	additive	M	0.026195167136201958
2	128	1024	additive	P	0.028090563757598105
2	128	1024	additive	O	0.028090563757598105
2	128	1024	additive	D	0.028090563757598105
2	128	1024	compositional_ridge	S	0.025403931071276635
2	128	1024	compositional_ridge	M	0.025403931071276635
2	128	1024	compositional_ridge	P	0.027299327692672765
2	128	1024	compositional_ridge	O	0.027299327692672765
2	128	1024	compositional_ridge	D	0.027299327692672765
2	128	1024	CPA_0.8.8	S	0.074170079385709395
2	128	1024	CPA_0.8.8	M	0.074170079385709395
2	128	1024	CPA_0.8.8	P	0.076242268560723747
2	128	1024	CPA_0.8.8	O	0.075888683453487371
2	128	1024	CPA_0.8.8	D	0.076065476007105573
2	128	1024	zero_effect	S	0.10362220482537941
2	128	1024	zero_effect	M	0.10362220482537943
2	128	1024	zero_effect	P	0.10362220482537943
2	128	1024	zero_effect	O	0.10362220482537943
2	128	1024	zero_effect	D	0.10362220482537943
2	135	1080	additive	S	0.026195167136201958
2	135	1080	additive	M	0.026195167136201958
2	135	1080	additive	P	0.028001128426417318
2	135	1080	additive	O	0.028001128426417318
2	135	1080	additive	D	0.028001128426417318
2	135	1080	compositional_ridge	S	0.025403931071276635
2	135	1080	compositional_ridge	M	0.025403931071276635
2	135	1080	compositional_ridge	P	0.027209892361492013
2	135	1080	compositional_ridge	O	0.027209892361492013
2	135	1080	compositional_ridge	D	0.027209892361492013
2	135	1080	CPA_0.8.8	S	0.073932563241489571
2	135	1080	CPA_0.8.8	M	0.073932563241489543
2	135	1080	CPA_0.8.8	P	0.07591182486281435
2	135	1080	CPA_0.8.8	O	0.075565224200595554
2	135	1080	CPA_0.8.8	D	0.075738524531704932
2	135	1080	zero_effect	S	0.10327496372290151
2	135	1080	zero_effect	M	0.10327496372290147
2	135	1080	zero_effect	P	0.10327496372290147
2	135	1080	zero_effect	O	0.10327496372290147
2	135	1080	zero_effect	D	0.10327496372290147
3	8	64	additive	S	0.026195167136201958
3	8	64	additive	M	0.026195167136201958
3	8	64	additive	P	0.056371891728376325
3	8	64	additive	O	0.056371891728376325
3	8	64	additive	D	0.056371891728376325
3	8	64	compositional_ridge	S	0.025403931071276635
3	8	64	compositional_ridge	M	0.025403931071276635
3	8	64	compositional_ridge	P	0.055580655663451037
3	8	64	compositional_ridge	O	0.055580655663451037
3	8	64	compositional_ridge	D	0.055580655663451037
3	8	64	CPA_0.8.8	S	0.080014864718096629
