regime	policy	root_index	family	utility
cap48	D	4	CPA	-0.5765218613948392
cap48	D	4	CellOT	-0.3514579799311617
cap48	D	5	NC	-0.3025338767210602
cap48	D	5	CM	-0.2364169818696481
cap48	D	5	TW	-0.2361953257744236
cap48	D	5	PCA	-0.23607600469151147
cap48	D	5	RBF	-0.23603832018461002
cap48	D	5	scGen	-0.3651874228737039
cap48	D	5	CPA	-0.62704057468468
cap48	D	5	CellOT	-0.3714346481893925
cap48	D	6	NC	-0.2756270580139184
cap48	D	6	CM	-0.27876275569047304
cap48	D	6	TW	-0.27807736269975075
cap48	D	6	PCA	-0.27772456914146465
cap48	D	6	RBF	-0.2771576460653782
cap48	D	6	scGen	-0.41203408073425246
cap48	D	6	CPA	-0.7678687768774543
cap48	D	6	CellOT	-0.41884584036253325
cap48	D	7	NC	-0.30624202956919394
cap48	D	7	CM	-0.2414312883964225
cap48	D	7	TW	-0.2414056533599338
cap48	D	7	PCA	-0.24132974966351137
cap48	D	7	RBF	-0.24126482686603237
cap48	D	7	scGen	-0.365394728484948
cap48	D	7	CPA	-0.6563981696693443
cap48	D	7	CellOT	-0.3722969843155754
