regime	label	input_block	observation_block	seed_summary	root_index	root_id	S_family	D_family	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	cohort_display	evaluation	cohort	program_panel	donor_id	batch_id	capture_orientation	mae_D_minus_S	prediction_mae_difference
cap48	0	1	2	mean_of_scored_seeds	0	ROOT_01	scGen	PCA	0.016037869111328099	0.013561696212068101	-0.0024761728992599998	0.097175929556832699	0.0923104929763017	original8								
cap48	0	1	2	mean_of_scored_seeds	1	ROOT_02	scGen	RBF	0.0104362022785204	0.0093856239408584008	-0.0010505783376619001	0.080368469975961296	0.076160853829115499	original8								
cap48	0	1	2	mean_of_scored_seeds	2	ROOT_03	scGen	RBF	0.013077429421293	0.0087019806214345997	-0.0043754487998583997	0.089632664217187699	0.074850997244833004	original8								
cap48	0	1	2	mean_of_scored_seeds	3	ROOT_04	scGen	PCA	0.0151013930405536	0.0125895647160336	-0.0025118283245198999	0.095740206346087903	0.085085646516441404	original8								
cap48	0	1	2	mean_of_scored_seeds	4	ROOT_05	scGen	RBF	0.014317155928054799	0.0091640885120658003	-0.0051530674159890001	0.095417158470209401	0.076052681302216596	original8								
cap48	0	1	2	mean_of_scored_seeds	5	ROOT_06	scGen	PCA	0.0138749657247365	0.011101231518179201	-0.0027737342065572001	0.092541585060061299	0.080699512228682893	original8								
cap48	0	1	2	mean_of_scored_seeds	6	ROOT_07	scGen	PCA	0.028094664732000899	0.031400075422815997	0.0033054106908150002	0.12962023800669101	0.13403557599916191	original8								
cap48	0	1	2	mean_of_scored_seeds	7	ROOT_08	scGen	PCA	0.012381789547814199	0.0085783702071274004	-0.0038034193406866999	0.087397569020788199	0.074807164056601594	original8								
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0116919284327918	0.016168057593220701	0.0044761291604288999	0.091017069146358501	0.098903742462200406	new39	shared_observation	primary39_two_types	all37	V01	B12	NI_capture_1	0.0078866733158417992	0.063044929497017094
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0155645966225722	0.025109982337415699	0.0095453857148433997	0.088308301879501394	0.11758879908273601	new39	shared_observation	primary39_two_types	all37	V02	B12	NI_capture_1	0.029280497203234501	0.060864462944082799
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0060777693302315004	0.012780697820658	0.0067029284904265001	0.0620041661699808	0.089132011742186101	new39	shared_observation	primary39_two_types	all37	V03	B12	NI_capture_2	0.027127845572205302	0.063570144399883094
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0070350020691655997	0.0147597236448511	0.0077247215756854996	0.062698273840853802	0.089420230457207803	new39	shared_observation	primary39_two_types	all37	V04	B12	NI_capture_2	0.0267219566163539	0.056468755709547798
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0080329473394182005	0.0148525990170939	0.0068196516776756	0.069490963312583101	0.094409832683553893	new39	shared_observation	primary39_two_types	all37	V05	B12	NI_capture_2	0.024918869370970698	0.059963699466785203
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0151546122964348	0.015364229264365	0.0002096169679302	0.10199428024096149	0.1028593973802743	new39	shared_observation	primary39_two_types	all37	V06	B7	NI_capture_1	0.0008651171393128	0.045067220704089098
cap48	0	1	1	mean_of_scored_seeds			scGen	PCA	0.0091996228484898003	0.0151595757336597	0.0059599528851699002	0.074641188026052199	0.094482552157491795	new39	shared_observation	primary39_two_types	all37	V07	B7	NI_capture_1	0.019841364131439498	0.053201008586844803
