depth_per_gemgroup	model	pattern	mean_utility	allocation_min_utility	allocation_max_utility
16	compositional_ridge	P	-0.04074475376739428	-0.041912551801255804	-0.03936756255849639
16	compositional_ridge	O	-0.04074475376739428	-0.041912551801255804	-0.03936756255849639
16	compositional_ridge	D	-0.04074475376739428	-0.041912551801255804	-0.03936756255849639
16	CPA_0.8.8	S	-0.07512885011887468	-0.08156202220869407	-0.07149514079604052
16	CPA_0.8.8	M	-0.07512885011887468	-0.08156202220869407	-0.07149514079604052
16	CPA_0.8.8	P	-0.09207936799491441	-0.09772620341991631	-0.08847246271145812
16	CPA_0.8.8	O	-0.08885997763507021	-0.09497208953623094	-0.08574617748938006
16	CPA_0.8.8	D	-0.0904696728149923	-0.09634914647807358	-0.08718079908834882
16	zero_effect	S	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	M	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	P	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	O	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
16	zero_effect	D	-0.11076536903327519	-0.11837380253338349	-0.10625501477008828
32	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
32	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
32	additive	P	-0.033929177699186505	-0.03459517566025449	-0.03330732746083776
32	additive	O	-0.033929177699186505	-0.03459517566025449	-0.03330732746083776
32	additive	D	-0.033929177699186505	-0.03459517566025449	-0.03330732746083776
32	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
32	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
32	compositional_ridge	P	-0.03313794163426118	-0.03380393959532915	-0.032516091395912446
32	compositional_ridge	O	-0.03313794163426118	-0.03380393959532915	-0.032516091395912446
32	compositional_ridge	D	-0.03313794163426118	-0.03380393959532915	-0.032516091395912446
32	CPA_0.8.8	S	-0.07415174351439685	-0.07732358854205044	-0.07061136870890375
32	CPA_0.8.8	M	-0.07415174351439685	-0.07732358854205043	-0.07061136870890375
32	CPA_0.8.8	P	-0.08271248828135422	-0.08565295497297545	-0.08043877946305783
32	CPA_0.8.8	O	-0.08105901987340859	-0.0840154942079677	-0.07752091339010786
32	CPA_0.8.8	D	-0.08188575407738141	-0.08474431097348628	-0.07897984642658282
32	zero_effect	S	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	M	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	P	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	O	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
32	zero_effect	D	-0.10632175391652536	-0.11024015001015931	-0.10208774926458339
64	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
64	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
64	additive	P	-0.03003416272060467	-0.030359837072232224	-0.02976316696889231
64	additive	O	-0.03003416272060467	-0.030359837072232224	-0.02976316696889231
64	additive	D	-0.03003416272060467	-0.030359837072232224	-0.02976316696889231
64	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
64	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
64	compositional_ridge	P	-0.02924292665567935	-0.029568601007306898	-0.028971930903966995
64	compositional_ridge	O	-0.02924292665567935	-0.029568601007306898	-0.028971930903966995
64	compositional_ridge	D	-0.02924292665567935	-0.029568601007306898	-0.028971930903966995
64	CPA_0.8.8	S	-0.07386127081926261	-0.0770237987286144	-0.07238060699550668
64	CPA_0.8.8	M	-0.07386127081926261	-0.0770237987286144	-0.07238060699550668
64	CPA_0.8.8	P	-0.07809080509196234	-0.08100672252455086	-0.0765560977885839
64	CPA_0.8.8	O	-0.07730972771536833	-0.08032562534565843	-0.07591090520096642
64	CPA_0.8.8	D	-0.07770026640366533	-0.08066617393510464	-0.07625705030040794
64	zero_effect	S	-0.10416566998074096	-0.10790309054873151	-0.10252134725090015
64	zero_effect	M	-0.10416566998074095	-0.10790309054873151	-0.10252134725090012
