depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	allocation_min_margin	allocation_max_margin	crossing_allocation_count	n_allocations	strict_crossing_after_task_and_allocation_means
8	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.05035627285173263	0.05035627285173262	-4.625929269271485e-18	0.04420574786569631	0.05711239551207432	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	S	0.09280457578938371	0.09280457578938371	0.0	0.08554446066869872	0.10180021585993249	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	M	0.09280457578938371	0.09280457578938371	9.251858538542971e-19	0.08554446066869872	0.10180021585993251	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	P	0.09280457578938371	0.06203347920783898	-0.030771096581544748	0.05532475518886477	0.07024046058830233	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	O	0.09280457578938371	0.06203347920783898	-0.030771096581544748	0.05532475518886477	0.07024046058830233	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	D	0.09280457578938371	0.06203347920783898	-0.030771096581544748	0.05532475518886477	0.07024046058830233	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	S	0.042448302937651096	0.042448302937651096	0.0	0.0407951735893442	0.04468782034785819	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	M	0.042448302937651096	0.04244830293765109	-1.3877787807814458e-18	0.0407951735893442	0.04468782034785822	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	P	0.042448302937651096	0.008401896497185668	-0.03404640644046542	0.003204799316678844	0.012273033768984767	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	O	0.042448302937651096	0.01495251621502703	-0.02749578672262406	0.012742541343574318	0.01686650066463137	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	D	0.042448302937651096	0.01167720635610635	-0.03077109658154474	0.009007753126670223	0.014240748104135767	0	30	False
16	additive	compositional_ridge	primary_state_pair	S	-0.0007912360649253228	-0.0007912360649253228	0.0	-0.0007912360649253228	-0.0007912360649253228	0	30	False
16	additive	compositional_ridge	primary_state_pair	M	-0.0007912360649253228	-0.0007912360649253228	0.0	-0.0007912360649253228	-0.0007912360649253228	0	30	False
16	additive	compositional_ridge	primary_state_pair	P	-0.0007912360649253228	-0.0007912360649253156	7.170190367370803e-18	-0.0007912360649253436	-0.0007912360649252881	0	30	False
16	additive	compositional_ridge	primary_state_pair	O	-0.0007912360649253228	-0.0007912360649253156	7.170190367370803e-18	-0.0007912360649253436	-0.0007912360649252881	0	30	False
16	additive	compositional_ridge	primary_state_pair	D	-0.0007912360649253228	-0.0007912360649253156	7.170190367370803e-18	-0.0007912360649253436	-0.0007912360649252881	0	30	False
16	additive	CPA_0.8.8	primary_state_pair	S	0.04893368298267271	0.04893368298267271	0.0	0.045299973659838566	0.055366855072492116	0	30	False
16	additive	CPA_0.8.8	primary_state_pair	M	0.04893368298267271	0.04893368298267271	-1.3877787807814458e-18	0.045299973659838566	0.055366855072492116	0	30	False
16	additive	CPA_0.8.8	primary_state_pair	P	0.04893368298267271	0.05054337816259481	0.0016096951799221015	0.04668952188875463	0.056743912014334874	0	30	False
16	additive	CPA_0.8.8	primary_state_pair	O	0.04893368298267271	0.047323987802750614	-0.0016096951799220945	0.04304238962319892	0.05398979813064951	0	30	False
16	additive	CPA_0.8.8	primary_state_pair	D	0.04893368298267271	0.04893368298267271	1.1564823173178713e-18	0.045299973659838566	0.055366855072492144	0	30	False
16	additive	zero_effect	zero_effect_diagnostic	S	0.08457020189707322	0.08457020189707322	0.0	0.08005984763388632	0.09217863539718153	0	30	False
16	additive	zero_effect	zero_effect_diagnostic	M	0.08457020189707322	0.08457020189707322	-9.251858538542971e-19	0.08005984763388632	0.09217863539718153	0	30	False
16	additive	zero_effect	zero_effect_diagnostic	P	0.08457020189707322	0.06922937920095557	-0.015340822696117633	0.0639540952554378	0.07739151112780206	0	30	False
16	additive	zero_effect	zero_effect_diagnostic	O	0.08457020189707322	0.06922937920095557	-0.015340822696117633	0.0639540952554378	0.07739151112780206	0	30	False
16	additive	zero_effect	zero_effect_diagnostic	D	0.08457020189707322	0.06922937920095557	-0.015340822696117633	0.0639540952554378	0.07739151112780206	0	30	False
16	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.049724919047598036	0.049724919047598036	0.0	0.04609120972476389	0.05615809113741744	0	30	False
16	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.049724919047598036	0.049724919047598036	-1.3877787807814458e-18	0.04609120972476389	0.05615809113741744	0	30	False
16	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.049724919047598036	0.051334614227520135	0.0016096951799220943	0.04748075795367995	0.057535148079260176	0	30	False
